id,jlpt_level,passage_id,passage_key,display_order,question_order,question_type,skill_focus,question_jp,question_romaji,question_id,choices_json,correct_answer_json,explanation_id,difficulty_order,points,time_limit_seconds,quiz_template_key,recommended_for_mvp,source_basis,source_url,review_status,notes
read_q_n5_0001,N5,read_n5_0001,self_intro_aya,1,1,multiple_choice_single,detail,アヤさんは何人ですか。,,Aya orang apa?,"[{""id"": ""c1"", ""text"": ""インドネシア人"", ""is_correct"": true}, {""id"": ""c2"", ""text"": ""日本人"", ""is_correct"": false}, {""id"": ""c3"", ""text"": ""先生"", ""is_correct"": false}, {""id"": ""c4"", ""text"": ""会社員"", ""is_correct"": false}]","{""correct_choice_id"": ""c1"", ""correct_value"": ""インドネシア人""}",Teks menyebut インドネシア人です。,1,2,60,reading_comprehension_choice,true,original_curated_app_seed_inspired_by_jlpt_n5_reading_item_formats,https://www.jlpt.jp/e/samples/forlearners.html,curated_original_needs_native_review,Original reading question. Not copied from official JLPT.
read_q_n5_0002,N5,read_n5_0001,self_intro_aya,2,2,multiple_choice_single,detail,アヤさんは毎日何を勉強しますか。,,Aya belajar apa setiap hari?,"[{""id"": ""c1"", ""text"": ""日本語"", ""is_correct"": true}, {""id"": ""c2"", ""text"": ""英語"", ""is_correct"": false}, {""id"": ""c3"", ""text"": ""数学"", ""is_correct"": false}, {""id"": ""c4"", ""text"": ""料理"", ""is_correct"": false}]","{""correct_choice_id"": ""c1"", ""correct_value"": ""日本語""}",Teks menyebut 毎日、日本語を勉強します。,1,2,60,reading_comprehension_choice,true,original_curated_app_seed_inspired_by_jlpt_n5_reading_item_formats,https://www.jlpt.jp/e/samples/forlearners.html,curated_original_needs_native_review,Original reading question. Not copied from official JLPT.
read_q_n5_0003,N5,read_n5_0001,self_intro_aya,3,3,true_false,verification,アヤさんは大学生です。,,Aya adalah mahasiswa.,"[{""id"": ""c1"", ""text"": ""正しい"", ""is_correct"": true}, {""id"": ""c2"", ""text"": ""正しくない"", ""is_correct"": false}]","{""correct_choice_id"": ""c1"", ""correct_value"": ""正しい"", ""is_true"": true}",Teks menyebut 大学生です。,1,1,45,reading_true_false,true,original_curated_app_seed_inspired_by_jlpt_n5_reading_item_formats,https://www.jlpt.jp/e/samples/forlearners.html,curated_original_needs_native_review,Original reading question. Not copied from official JLPT.
read_q_n5_0004,N5,read_n5_0002,daily_morning_taro,4,1,multiple_choice_single,detail,太郎さんは何時に起きますか。,,Taro bangun jam berapa?,"[{""id"": ""c1"", ""text"": ""六時"", ""is_correct"": true}, {""id"": ""c2"", ""text"": ""七時"", ""is_correct"": false}, {""id"": ""c3"", ""text"": ""八時"", ""is_correct"": false}, {""id"": ""c4"", ""text"": ""九時"", ""is_correct"": false}]","{""correct_choice_id"": ""c1"", ""correct_value"": ""六時""}",Teks menyebut 六時に起きます。,1,2,60,reading_comprehension_choice,true,original_curated_app_seed_inspired_by_jlpt_n5_reading_item_formats,https://www.jlpt.jp/e/samples/forlearners.html,curated_original_needs_native_review,Original reading question. Not copied from official JLPT.
read_q_n5_0005,N5,read_n5_0002,daily_morning_taro,5,2,multiple_choice_single,detail,太郎さんは何で学校へ行きますか。,,Taro pergi ke sekolah dengan apa?,"[{""id"": ""c1"", ""text"": ""自転車"", ""is_correct"": true}, {""id"": ""c2"", ""text"": ""電車"", ""is_correct"": false}, {""id"": ""c3"", ""text"": ""バス"", ""is_correct"": false}, {""id"": ""c4"", ""text"": ""歩いて"", ""is_correct"": false}]","{""correct_choice_id"": ""c1"", ""correct_value"": ""自転車""}",Teks menyebut 自転車で行きます。,1,2,60,reading_comprehension_choice,true,original_curated_app_seed_inspired_by_jlpt_n5_reading_item_formats,https://www.jlpt.jp/e/samples/forlearners.html,curated_original_needs_native_review,Original reading question. Not copied from official JLPT.
read_q_n5_0006,N5,read_n5_0002,daily_morning_taro,6,3,true_false,verification,太郎さんは七時に家を出ます。,,Taro keluar rumah jam tujuh.,"[{""id"": ""c1"", ""text"": ""正しい"", ""is_correct"": false}, {""id"": ""c2"", ""text"": ""正しくない"", ""is_correct"": true}]","{""correct_choice_id"": ""c2"", ""correct_value"": ""正しくない"", ""is_true"": false}",Teks menyebut 八時に家を出ます。,1,1,45,reading_true_false,true,original_curated_app_seed_inspired_by_jlpt_n5_reading_item_formats,https://www.jlpt.jp/e/samples/forlearners.html,curated_original_needs_native_review,Original reading question. Not copied from official JLPT.
read_q_n5_0007,N5,read_n5_0003,school_test,7,1,multiple_choice_single,detail,今日は何曜日ですか。,,Hari ini hari apa?,"[{""id"": ""c1"", ""text"": ""月曜日"", ""is_correct"": true}, {""id"": ""c2"", ""text"": ""火曜日"", ""is_correct"": false}, {""id"": ""c3"", ""text"": ""日曜日"", ""is_correct"": false}, {""id"": ""c4"", ""text"": ""金曜日"", ""is_correct"": false}]","{""correct_choice_id"": ""c1"", ""correct_value"": ""月曜日""}",Teks menyebut 今日は月曜日です。,1,2,60,reading_comprehension_choice,true,original_curated_app_seed_inspired_by_jlpt_n5_reading_item_formats,https://www.jlpt.jp/e/samples/forlearners.html,curated_original_needs_native_review,Original reading question. Not copied from official JLPT.
read_q_n5_0008,N5,read_n5_0003,school_test,8,2,multiple_choice_single,detail,テストは何時からですか。,,Tes mulai jam berapa?,"[{""id"": ""c1"", ""text"": ""午前十時"", ""is_correct"": true}, {""id"": ""c2"", ""text"": ""午前八時"", ""is_correct"": false}, {""id"": ""c3"", ""text"": ""午後十時"", ""is_correct"": false}, {""id"": ""c4"", ""text"": ""昼休み"", ""is_correct"": false}]","{""correct_choice_id"": ""c1"", ""correct_value"": ""午前十時""}",Teks menyebut 午前十時からです。,1,2,60,reading_comprehension_choice,true,original_curated_app_seed_inspired_by_jlpt_n5_reading_item_formats,https://www.jlpt.jp/e/samples/forlearners.html,curated_original_needs_native_review,Original reading question. Not copied from official JLPT.
read_q_n5_0009,N5,read_n5_0003,school_test,9,3,true_false,verification,昼休みに友達とパンを食べます。,,"Saat istirahat siang, ia makan roti dengan teman.","[{""id"": ""c1"", ""text"": ""正しい"", ""is_correct"": true}, {""id"": ""c2"", ""text"": ""正しくない"", ""is_correct"": false}]","{""correct_choice_id"": ""c1"", ""correct_value"": ""正しい"", ""is_true"": true}",Kalimat terakhir menyebut hal itu.,1,1,45,reading_true_false,true,original_curated_app_seed_inspired_by_jlpt_n5_reading_item_formats,https://www.jlpt.jp/e/samples/forlearners.html,curated_original_needs_native_review,Original reading question. Not copied from official JLPT.
read_q_n5_0010,N5,read_n5_0004,family_photo,10,1,multiple_choice_single,detail,父は何ですか。,,Ayahnya bekerja sebagai apa?,"[{""id"": ""c1"", ""text"": ""会社員"", ""is_correct"": true}, {""id"": ""c2"", ""text"": ""先生"", ""is_correct"": false}, {""id"": ""c3"", ""text"": ""医者"", ""is_correct"": false}, {""id"": ""c4"", ""text"": ""学生"", ""is_correct"": false}]","{""correct_choice_id"": ""c1"", ""correct_value"": ""会社員""}",Teks menyebut 父は会社員です。,1,2,60,reading_comprehension_choice,true,original_curated_app_seed_inspired_by_jlpt_n5_reading_item_formats,https://www.jlpt.jp/e/samples/forlearners.html,curated_original_needs_native_review,Original reading question. Not copied from official JLPT.
