id,set_type,display_order,symbol,visible_symbol,unicode_codepoint,unicode_name,unicode_escape,utf8_hex,category,subcategory,japanese_name,romaji_name,meaning_id,usage_id,input_aliases,normalized_nfkc,suggested_normalized_to,pair_key,pair_role,is_pair,is_common,n5_relevant,recommended_for_quiz,example_jp,example_id,source_url,notes
jsp_0001,cjk_symbols_punctuation_block,1,　,␠ IDEOGRAPHIC SPACE,U+3000,IDEOGRAPHIC SPACE,\u3000,E3 80 80,space,ideographic_space,全角スペース,zenkaku supēsu,Spasi fullwidth/ideografik,Pemisah visual dalam teks Jepang; biasanya jangan dipakai sembarangan di jawaban quiz.,"space, zenkaku space", ,,,none,false,true,true,false,日本語　スペース,Spasi fullwidth di antara kata.,https://www.unicode.org/charts/PDF/U3000.pdf,"Untuk app, biasanya normalize ke ASCII space saat validasi input."
jsp_0002,cjk_symbols_punctuation_block,2,、,、,U+3001,IDEOGRAPHIC COMMA,\u3001,E3 80 81,punctuation,sentence_comma,読点,tōten,Koma Jepang,Memisahkan klausa/frasa dalam kalimat Jepang.,", , comma, koma",,、,,none,false,true,true,true,すし、ラーメン、パン,"Sushi, ramen, roti.",https://www.unicode.org/charts/PDF/U3000.pdf,Core punctuation untuk reading dan contoh kalimat.
jsp_0003,cjk_symbols_punctuation_block,3,。,。,U+3002,IDEOGRAPHIC FULL STOP,\u3002,E3 80 82,punctuation,sentence_period,句点,kuten,Titik Jepang,Menutup kalimat Jepang.,". , period, titik, full stop",,。,,none,false,true,true,true,私は学生です。,Saya adalah pelajar.,https://www.unicode.org/charts/PDF/U3000.pdf,Core punctuation untuk semua kalimat Jepang.
jsp_0004,cjk_symbols_punctuation_block,4,〃,〃,U+3003,DITTO MARK,\u3003,E3 80 83,symbol,ditto_mark,同の字点,dō no jiten,Tanda ditto/pengulangan,Menunjukkan pengulangan kata/entri sebelumnya.,ditto,,,,none,false,true,false,false,同上 〃,Sama seperti di atas.,https://www.unicode.org/charts/PDF/U3000.pdf,"Lebih sering di tabel/form, bukan materi awal."
jsp_0005,cjk_symbols_punctuation_block,5,〄,〄,U+3004,JAPANESE INDUSTRIAL STANDARD SYMBOL,\u3004,E3 80 84,symbol,jis_mark,日本工業規格記号,nihon kōgyō kikaku kigō,Simbol standar industri Jepang,Simbol JIS lama.,jis,,,,none,false,false,false,false,,,https://www.unicode.org/charts/PDF/U3000.pdf,Obscure; simpan untuk rendering/normalisasi saja.
jsp_0006,cjk_symbols_punctuation_block,6,々,々,U+3005,IDEOGRAPHIC ITERATION MARK,\u3005,E3 80 85,mark,ideographic_iteration,踊り字 / ノマ,odoriji / noma,Tanda pengulangan kanji,"Mengulang kanji sebelumnya, misalnya 時々.","noma, odoriji, iteration mark",,,,none,false,true,true,true,時々、映画を見ます。,Kadang-kadang saya menonton film.,https://www.unicode.org/charts/PDF/U3000.pdf,Penting karena muncul di kosakata umum seperti 時々 dan 人々.
jsp_0007,cjk_symbols_punctuation_block,7,〆,〆,U+3006,IDEOGRAPHIC CLOSING MARK,\u3006,E3 80 86,symbol,ideographic_closing_mark,締め,shime,Tanda tutup/penutup,Sering muncul pada kata seperti 〆切.,shime,,,,none,false,true,false,false,〆切,Deadline/tenggat.,https://www.unicode.org/charts/PDF/U3000.pdf,"Bisa muncul di kehidupan nyata, bukan wajib N5."
jsp_0008,cjk_symbols_punctuation_block,8,〇,〇,U+3007,IDEOGRAPHIC NUMBER ZERO,\u3007,E3 80 87,number_symbol,ideographic_zero,漢数字のゼロ,kanji no zero,Angka nol ideografik,Dipakai untuk nol dalam tanggal/nomor gaya Jepang.,"zero, maru",,,,none,false,true,true,false,二〇二六年,Tahun 2026.,https://www.unicode.org/charts/PDF/U3000.pdf,Bisa dipakai di tanggal; app boleh normalisasi dengan 0 sesuai konteks.
jsp_0009,cjk_symbols_punctuation_block,9,〈,〈,U+3008,LEFT ANGLE BRACKET,\u3008,E3 80 88,bracket,angle_bracket,山括弧,yama kakko,Kurung sudut kiri,Pembuka judul/penekanan khusus.,<,,,angle_bracket,open,true,true,false,false,,,https://www.unicode.org/charts/PDF/U3000.pdf,
jsp_0010,cjk_symbols_punctuation_block,10,〉,〉,U+3009,RIGHT ANGLE BRACKET,\u3009,E3 80 89,bracket,angle_bracket,山括弧,yama kakko,Kurung sudut kanan,Penutup judul/penekanan khusus.,>,,,angle_bracket,close,true,true,false,false,,,https://www.unicode.org/charts/PDF/U3000.pdf,
jsp_0011,cjk_symbols_punctuation_block,11,《,《,U+300A,LEFT DOUBLE ANGLE BRACKET,\u300A,E3 80 8A,bracket,double_angle_bracket,二重山括弧,nijū yama kakko,Kurung sudut ganda kiri,Kompatibilitas teks CJK.,,,,double_angle_bracket,open,true,true,false,false,,,https://www.unicode.org/charts/PDF/U3000.pdf,
jsp_0012,cjk_symbols_punctuation_block,12,》,》,U+300B,RIGHT DOUBLE ANGLE BRACKET,\u300B,E3 80 8B,bracket,double_angle_bracket,二重山括弧,nijū yama kakko,Kurung sudut ganda kanan,Kompatibilitas teks CJK.,,,,double_angle_bracket,close,true,true,false,false,,,https://www.unicode.org/charts/PDF/U3000.pdf,
