id,preset_key,current_state,rating_key,next_state,due_delay_minutes,due_delay_days,interval_formula,ease_delta,lapse_delta,learning_step_delta,review_count_delta,should_graduate,should_reset_learning_step,queue_position,explanation_id,recommended_for_mvp,source_url,notes
srs_trans_001,mvp_fixed_v1,new,again,learning,10,,now + 10 minutes,-0.05,0,0,1,false,true,due_by_time,"Lupa saat kartu baru, ulang cepat 10 menit.",true,https://docs.ankiweb.net/deck-options.html,
srs_trans_002,mvp_fixed_v1,new,hard,learning,,1,now + 1 day,-0.05,0,1,1,false,false,due_by_time,"Kartu baru masih berat, ulang besok.",true,https://docs.ankiweb.net/deck-options.html,
srs_trans_003,mvp_fixed_v1,new,good,review,,3,now + 3 days,0,0,1,1,true,false,due_by_time,"Kartu baru sudah cukup ingat, masuk review 3 hari.",true,https://docs.ankiweb.net/deck-options.html,
srs_trans_004,mvp_fixed_v1,new,easy,review,,7,now + 7 days,0.1,0,0,1,true,false,due_by_time,"Kartu baru sangat mudah, masuk review 7 hari.",true,https://docs.ankiweb.net/deck-options.html,
srs_trans_005,mvp_fixed_v1,learning,again,learning,10,,now + 10 minutes,-0.05,0,0,1,false,true,due_by_time,"Masih lupa saat learning, balik ke step awal.",true,https://docs.ankiweb.net/deck-options.html,
srs_trans_006,mvp_fixed_v1,learning,hard,learning,,1,now + 1 day,-0.05,0,0,1,false,false,due_by_time,"Masih berat, ulang besok sebelum graduate.",true,https://docs.ankiweb.net/deck-options.html,
srs_trans_007,mvp_fixed_v1,learning,good,review,,3,now + 3 days,0,0,1,1,true,false,due_by_time,"Lulus learning, masuk review 3 hari.",true,https://docs.ankiweb.net/deck-options.html,
srs_trans_008,mvp_fixed_v1,learning,easy,review,,7,now + 7 days,0.1,0,0,1,true,false,due_by_time,"Lulus cepat, masuk review 7 hari.",true,https://docs.ankiweb.net/deck-options.html,
srs_trans_009,mvp_fixed_v1,review,again,relearning,10,,"now + 10 minutes; new_interval=max(1,round(old_interval_days*0.25))",-0.2,1,0,1,false,true,learning_due_first,"Lapse: lupa saat review, masuk relearning.",true,https://docs.ankiweb.net/deck-options.html,
srs_trans_010,mvp_fixed_v1,review,hard,review,,,"now + max(1,round(old_interval_days*1.2)) days",-0.15,0,0,1,false,false,due_by_time,"Ingat tapi susah, interval naik pelan.",true,https://docs.ankiweb.net/deck-options.html,
srs_trans_011,mvp_fixed_v1,review,good,review,,,"now + max(3,round(old_interval_days*2.5)) days",0,0,0,1,false,false,due_by_time,"Ingat normal, interval naik standar.",true,https://docs.ankiweb.net/deck-options.html,
srs_trans_012,mvp_fixed_v1,review,easy,review,,,"now + max(7,round(old_interval_days*3.5)) days",0.15,0,0,1,false,false,due_by_time,"Ingat mudah, interval naik lebih jauh.",true,https://docs.ankiweb.net/deck-options.html,
srs_trans_013,mvp_fixed_v1,relearning,again,relearning,10,,now + 10 minutes,-0.05,0,0,1,false,true,due_by_time,"Masih lupa saat relearning, ulang cepat.",true,https://docs.ankiweb.net/deck-options.html,
srs_trans_014,mvp_fixed_v1,relearning,hard,relearning,,1,now + 1 day,-0.05,0,0,1,false,false,due_by_time,"Masih berat, ulang besok.",true,https://docs.ankiweb.net/deck-options.html,
srs_trans_015,mvp_fixed_v1,relearning,good,review,,,"now + max(1,round(old_interval_days*0.5)) days",0,0,0,1,true,false,due_by_time,Keluar dari relearning dengan interval lebih pendek.,true,https://docs.ankiweb.net/deck-options.html,
srs_trans_016,mvp_fixed_v1,relearning,easy,review,,,"now + max(3,round(old_interval_days*1.0)) days",0.1,0,0,1,true,false,due_by_time,Keluar dari relearning dengan interval lama dipertahankan minimal 3 hari.,true,https://docs.ankiweb.net/deck-options.html,
