id,jlpt_level,set_type,display_order,kanji,kanji_meaning_id,radical_form_used,canonical_radical,radical_id,radical_number,radical_name_hiragana,radical_name_romaji,radical_meaning_id,radical_position_guess,is_variant_form,is_core_80,source_basis,source_url,notes
n5_kanji_radmap_001,N5,core_80_common_n5,1,日,hari; matahari; Jepang; penghitung hari,日,日,rad_kx_072,72,ひ,hi,matahari; hari; waktu,whole,false,true,existing_jlpt_n5_kanji_seed_radical_kanji + Kangxi/KanjiAlive radical master,https://kanjivg.tagaini.net/radicals.html,"Radical assignment can vary by dictionary; use this as app seed, not a single absolute truth."
n5_kanji_radmap_002,N5,core_80_common_n5,2,一,satu,一,一,rad_kx_001,1,いち,ichi,satu; garis horizontal,whole,false,true,existing_jlpt_n5_kanji_seed_radical_kanji + Kangxi/KanjiAlive radical master,https://kanjivg.tagaini.net/radicals.html,"Radical assignment can vary by dictionary; use this as app seed, not a single absolute truth."
n5_kanji_radmap_003,N5,core_80_common_n5,3,国,negara,囗,囗,rad_kx_031,31,くにがまえ,kunigamae,batas; enclosure,unknown_or_dictionary_radical,false,true,existing_jlpt_n5_kanji_seed_radical_kanji + Kangxi/KanjiAlive radical master,https://kanjivg.tagaini.net/radicals.html,"Radical assignment can vary by dictionary; use this as app seed, not a single absolute truth."
n5_kanji_radmap_004,N5,core_80_common_n5,4,人,orang,人,人,rad_kx_009,9,ひと,hito,orang,whole,false,true,existing_jlpt_n5_kanji_seed_radical_kanji + Kangxi/KanjiAlive radical master,https://kanjivg.tagaini.net/radicals.html,"Radical assignment can vary by dictionary; use this as app seed, not a single absolute truth."
n5_kanji_radmap_005,N5,core_80_common_n5,5,年,tahun; penghitung tahun,干,干,rad_kx_051,51,かん,kan,kering; perisai,unknown_or_dictionary_radical,false,true,existing_jlpt_n5_kanji_seed_radical_kanji + Kangxi/KanjiAlive radical master,https://kanjivg.tagaini.net/radicals.html,"Radical assignment can vary by dictionary; use this as app seed, not a single absolute truth."
n5_kanji_radmap_006,N5,core_80_common_n5,6,大,besar,大,大,rad_kx_037,37,だい,dai,besar,whole,false,true,existing_jlpt_n5_kanji_seed_radical_kanji + Kangxi/KanjiAlive radical master,https://kanjivg.tagaini.net/radicals.html,"Radical assignment can vary by dictionary; use this as app seed, not a single absolute truth."
n5_kanji_radmap_007,N5,core_80_common_n5,7,十,sepuluh,十,十,rad_kx_024,24,じゅう,juu,sepuluh,whole,false,true,existing_jlpt_n5_kanji_seed_radical_kanji + Kangxi/KanjiAlive radical master,https://kanjivg.tagaini.net/radicals.html,"Radical assignment can vary by dictionary; use this as app seed, not a single absolute truth."
n5_kanji_radmap_008,N5,core_80_common_n5,8,二,dua,二,二,rad_kx_007,7,に,ni,dua,whole,false,true,existing_jlpt_n5_kanji_seed_radical_kanji + Kangxi/KanjiAlive radical master,https://kanjivg.tagaini.net/radicals.html,"Radical assignment can vary by dictionary; use this as app seed, not a single absolute truth."
n5_kanji_radmap_009,N5,core_80_common_n5,9,本,buku; asal; utama; penghitung benda panjang,木,木,rad_kx_075,75,き,ki,pohon; kayu,whole_or_left,false,true,existing_jlpt_n5_kanji_seed_radical_kanji + Kangxi/KanjiAlive radical master,https://kanjivg.tagaini.net/radicals.html,"Radical assignment can vary by dictionary; use this as app seed, not a single absolute truth."
n5_kanji_radmap_010,N5,core_80_common_n5,10,中,dalam; tengah; pusat,丨,丨,rad_kx_002,2,たてぼう,tatebou,garis vertikal,unknown_or_dictionary_radical,false,true,existing_jlpt_n5_kanji_seed_radical_kanji + Kangxi/KanjiAlive radical master,https://kanjivg.tagaini.net/radicals.html,"Radical assignment can vary by dictionary; use this as app seed, not a single absolute truth."
n5_kanji_radmap_011,N5,core_80_common_n5,11,長,panjang; pemimpin; senior,長,長,rad_kx_168,168,ながい,nagai,panjang; pemimpin,whole,false,true,existing_jlpt_n5_kanji_seed_radical_kanji + Kangxi/KanjiAlive radical master,https://kanjivg.tagaini.net/radicals.html,"Radical assignment can vary by dictionary; use this as app seed, not a single absolute truth."
n5_kanji_radmap_012,N5,core_80_common_n5,12,出,keluar; meninggalkan,凵,凵,rad_kx_017,17,かんにょう,kannyou,kotak terbuka; wadah,unknown_or_dictionary_radical,false,true,existing_jlpt_n5_kanji_seed_radical_kanji + Kangxi/KanjiAlive radical master,https://kanjivg.tagaini.net/radicals.html,"Radical assignment can vary by dictionary; use this as app seed, not a single absolute truth."
n5_kanji_radmap_013,N5,core_80_common_n5,13,三,tiga,一,一,rad_kx_001,1,いち,ichi,satu; garis horizontal,unknown_or_dictionary_radical,false,true,existing_jlpt_n5_kanji_seed_radical_kanji + Kangxi/KanjiAlive radical master,https://kanjivg.tagaini.net/radicals.html,"Radical assignment can vary by dictionary; use this as app seed, not a single absolute truth."
