id,jlpt_level,set_type,display_order,kanji,unicode_codepoint,unicode_name,stroke_count,onyomi_romaji,onyomi_katakana,kunyomi_romaji,kunyomi_hiragana,meaning_en,meaning_id,example_word,example_reading,example_romaji,example_meaning_id,example_sentence_jp,example_sentence_id,mnemonic_id,radical_kanji,audio_path,stroke_order_path,source_url,secondary_source_url,notes
kanji_n5_001,N5,core_80_common_n5,1,日,U+65E5,CJK UNIFIED IDEOGRAPH-65E5,4,"nichi, jitsu","ニチ, ジツ","hi, -bi, -ka","ひ, -び, -か","day, sun, Japan, counter for days",hari; matahari; Jepang; penghitung hari,日本,にほん,nihon,Jepang,私は日本に行きます。,Saya pergi ke Jepang.,Kotak matahari; satu hari dimulai dari matahari.,日,/assets/audio/kanji/n5/001_日.mp3,/assets/stroke-order/kanji/65e5.svg,https://jlptsensei.com/jlpt-n5-kanji-list/,https://www.kanshudo.com/collections/jlpt_kanji | https://kanjikana.com/en/kanji/jlpt/n5,Core 80 N5 study list; JLPT does not publish an official exact kanji list after the 2010 revision.
kanji_n5_002,N5,core_80_common_n5,2,一,U+4E00,CJK UNIFIED IDEOGRAPH-4E00,1,"ichi, itsu","イチ, イツ","hito(tsu), hito-","ひと(つ), ひと-",one,satu,一つ,ひとつ,hitotsu,satu buah,りんごが一つあります。,Ada satu apel.,"Satu garis. Ya udah, sesederhana itu wkwk.",一,/assets/audio/kanji/n5/002_一.mp3,/assets/stroke-order/kanji/4e00.svg,https://jlptsensei.com/jlpt-n5-kanji-list/,https://www.kanshudo.com/collections/jlpt_kanji | https://kanjikana.com/en/kanji/jlpt/n5,Core 80 N5 study list; JLPT does not publish an official exact kanji list after the 2010 revision.
kanji_n5_003,N5,core_80_common_n5,3,国,U+56FD,CJK UNIFIED IDEOGRAPH-56FD,8,koku,コク,kuni,くに,country,negara,国,くに,kuni,negara,日本は島国です。,Jepang adalah negara kepulauan.,Negara itu wilayah yang dipagari kotak besar.,囗,/assets/audio/kanji/n5/003_国.mp3,/assets/stroke-order/kanji/56fd.svg,https://jlptsensei.com/jlpt-n5-kanji-list/,https://www.kanshudo.com/collections/jlpt_kanji | https://kanjikana.com/en/kanji/jlpt/n5,Core 80 N5 study list; JLPT does not publish an official exact kanji list after the 2010 revision.
kanji_n5_004,N5,core_80_common_n5,4,人,U+4EBA,CJK UNIFIED IDEOGRAPH-4EBA,2,"jin, nin","ジン, ニン",hito,ひと,person,orang,人,ひと,hito,orang,あの人は先生です。,Orang itu adalah guru.,Dua garis seperti orang sedang berdiri.,人,/assets/audio/kanji/n5/004_人.mp3,/assets/stroke-order/kanji/4eba.svg,https://jlptsensei.com/jlpt-n5-kanji-list/,https://www.kanshudo.com/collections/jlpt_kanji | https://kanjikana.com/en/kanji/jlpt/n5,Core 80 N5 study list; JLPT does not publish an official exact kanji list after the 2010 revision.
kanji_n5_005,N5,core_80_common_n5,5,年,U+5E74,CJK UNIFIED IDEOGRAPH-5E74,6,nen,ネン,toshi,とし,"year, counter for years",tahun; penghitung tahun,今年,ことし,kotoshi,tahun ini,今年は忙しいです。,Tahun ini sibuk.,Tahun terasa seperti panen yang dihitung siklusnya.,干,/assets/audio/kanji/n5/005_年.mp3,/assets/stroke-order/kanji/5e74.svg,https://jlptsensei.com/jlpt-n5-kanji-list/,https://www.kanshudo.com/collections/jlpt_kanji | https://kanjikana.com/en/kanji/jlpt/n5,Core 80 N5 study list; JLPT does not publish an official exact kanji list after the 2010 revision.
kanji_n5_006,N5,core_80_common_n5,6,大,U+5927,CJK UNIFIED IDEOGRAPH-5927,3,"dai, tai","ダイ, タイ",oo(kii),おお(きい),"large, big",besar,大きい,おおきい,ookii,besar,大きい犬がいます。,Ada anjing besar.,"Orang merentangkan tangan, jadi kelihatan besar.",大,/assets/audio/kanji/n5/006_大.mp3,/assets/stroke-order/kanji/5927.svg,https://jlptsensei.com/jlpt-n5-kanji-list/,https://www.kanshudo.com/collections/jlpt_kanji | https://kanjikana.com/en/kanji/jlpt/n5,Core 80 N5 study list; JLPT does not publish an official exact kanji list after the 2010 revision.
kanji_n5_007,N5,core_80_common_n5,7,十,U+5341,CJK UNIFIED IDEOGRAPH-5341,2,"juu, ji","ジュウ, ジ","tou, to","とお, と",ten,sepuluh,十円,じゅうえん,juuen,sepuluh yen,これは十円です。,Ini sepuluh yen.,Tanda plus sederhana buat angka sepuluh.,十,/assets/audio/kanji/n5/007_十.mp3,/assets/stroke-order/kanji/5341.svg,https://jlptsensei.com/jlpt-n5-kanji-list/,https://www.kanshudo.com/collections/jlpt_kanji | https://kanjikana.com/en/kanji/jlpt/n5,Core 80 N5 study list; JLPT does not publish an official exact kanji list after the 2010 revision.
kanji_n5_008,N5,core_80_common_n5,8,二,U+4E8C,CJK UNIFIED IDEOGRAPH-4E8C,2,"ni, ji","ニ, ジ","futa(tsu), futa-","ふた(つ), ふた-",two,dua,二つ,ふたつ,futatsu,dua buah,机が二つあります。,Ada dua meja.,Dua garis = dua. Kanji mode tutorial bayi.,二,/assets/audio/kanji/n5/008_二.mp3,/assets/stroke-order/kanji/4e8c.svg,https://jlptsensei.com/jlpt-n5-kanji-list/,https://www.kanshudo.com/collections/jlpt_kanji | https://kanjikana.com/en/kanji/jlpt/n5,Core 80 N5 study list; JLPT does not publish an official exact kanji list after the 2010 revision.
kanji_n5_009,N5,core_80_common_n5,9,本,U+672C,CJK UNIFIED IDEOGRAPH-672C,5,hon,ホン,moto,もと,"book, present, true, counter for long objects",buku; asal; utama; penghitung benda panjang,本,ほん,hon,buku,この本を読みます。,Saya membaca buku ini.,Pohon dengan akar: sumber/asal; dari situ jadi buku.,木,/assets/audio/kanji/n5/009_本.mp3,/assets/stroke-order/kanji/672c.svg,https://jlptsensei.com/jlpt-n5-kanji-list/,https://www.kanshudo.com/collections/jlpt_kanji | https://kanjikana.com/en/kanji/jlpt/n5,Core 80 N5 study list; JLPT does not publish an official exact kanji list after the 2010 revision.
kanji_n5_010,N5,core_80_common_n5,10,中,U+4E2D,CJK UNIFIED IDEOGRAPH-4E2D,4,chuu,チュウ,"naka, uchi, ata(ru)","なか, うち, あた(る)","inside, middle, center",dalam; tengah; pusat,中,なか,naka,dalam,箱の中に猫がいます。,Ada kucing di dalam kotak.,Garis menembus tengah kotak: pas di tengah.,丨,/assets/audio/kanji/n5/010_中.mp3,/assets/stroke-order/kanji/4e2d.svg,https://jlptsensei.com/jlpt-n5-kanji-list/,https://www.kanshudo.com/collections/jlpt_kanji | https://kanjikana.com/en/kanji/jlpt/n5,Core 80 N5 study list; JLPT does not publish an official exact kanji list after the 2010 revision.
kanji_n5_011,N5,core_80_common_n5,11,長,U+9577,CJK UNIFIED IDEOGRAPH-9577,8,chou,チョウ,"naga(i), osa","なが(い), おさ","long, leader, senior",panjang; pemimpin; senior,長い,ながい,nagai,panjang,長い道です。,Ini jalan yang panjang.,Bentuknya seperti rambut panjang yang menjuntai.,長,/assets/audio/kanji/n5/011_長.mp3,/assets/stroke-order/kanji/9577.svg,https://jlptsensei.com/jlpt-n5-kanji-list/,https://www.kanshudo.com/collections/jlpt_kanji | https://kanjikana.com/en/kanji/jlpt/n5,Core 80 N5 study list; JLPT does not publish an official exact kanji list after the 2010 revision.
kanji_n5_012,N5,core_80_common_n5,12,出,U+51FA,CJK UNIFIED IDEOGRAPH-51FA,5,"shutsu, sui","シュツ, スイ","de(ru), da(su), i(deru)","で(る), だ(す), い(でる)","exit, leave, go out",keluar; meninggalkan,出る,でる,deru,keluar,家を出ます。,Saya keluar dari rumah.,Seperti benda muncul keluar dari kotak/gunung.,凵,/assets/audio/kanji/n5/012_出.mp3,/assets/stroke-order/kanji/51fa.svg,https://jlptsensei.com/jlpt-n5-kanji-list/,https://www.kanshudo.com/collections/jlpt_kanji | https://kanjikana.com/en/kanji/jlpt/n5,Core 80 N5 study list; JLPT does not publish an official exact kanji list after the 2010 revision.
kanji_n5_013,N5,core_80_common_n5,13,三,U+4E09,CJK UNIFIED IDEOGRAPH-4E09,3,san,サン,"mi(tsu), mi-","み(つ), み-",three,tiga,三つ,みっつ,mittsu,tiga buah,りんごが三つあります。,Ada tiga apel.,Tiga garis. Kanji masih baik-baik saja di level ini.,一,/assets/audio/kanji/n5/013_三.mp3,/assets/stroke-order/kanji/4e09.svg,https://jlptsensei.com/jlpt-n5-kanji-list/,https://www.kanshudo.com/collections/jlpt_kanji | https://kanjikana.com/en/kanji/jlpt/n5,Core 80 N5 study list; JLPT does not publish an official exact kanji list after the 2010 revision.
kanji_n5_014,N5,core_80_common_n5,14,時,U+6642,CJK UNIFIED IDEOGRAPH-6642,10,ji,ジ,"toki, doki","とき, -どき","time, hour",waktu; jam,時間,じかん,jikan,waktu,時間があります。,Ada waktu.,Hari + kuil: waktu ditandai dari hari ke hari.,日,/assets/audio/kanji/n5/014_時.mp3,/assets/stroke-order/kanji/6642.svg,https://jlptsensei.com/jlpt-n5-kanji-list/,https://www.kanshudo.com/collections/jlpt_kanji | https://kanjikana.com/en/kanji/jlpt/n5,Core 80 N5 study list; JLPT does not publish an official exact kanji list after the 2010 revision.
kanji_n5_015,N5,core_80_common_n5,15,行,U+884C,CJK UNIFIED IDEOGRAPH-884C,6,"kou, gyou, an","コウ, ギョウ, アン","i(ku), yu(ku), okona(u)","い(く), ゆ(く), おこな(う)","go, journey, carry out, line",pergi; melakukan; baris,行く,いく,iku,pergi,学校へ行きます。,Saya pergi ke sekolah.,Dua langkah di jalan: pergi/berjalan.,行,/assets/audio/kanji/n5/015_行.mp3,/assets/stroke-order/kanji/884c.svg,https://jlptsensei.com/jlpt-n5-kanji-list/,https://www.kanshudo.com/collections/jlpt_kanji | https://kanjikana.com/en/kanji/jlpt/n5,Core 80 N5 study list; JLPT does not publish an official exact kanji list after the 2010 revision.
kanji_n5_016,N5,core_80_common_n5,16,見,U+898B,CJK UNIFIED IDEOGRAPH-898B,7,ken,ケン,"mi(ru), mi(seru)","み(る), み(せる)","see, look at, visible",melihat; tampak,見る,みる,miru,melihat,映画を見ます。,Saya menonton film.,Mata dengan kaki: mata yang pergi melihat.,見,/assets/audio/kanji/n5/016_見.mp3,/assets/stroke-order/kanji/898b.svg,https://jlptsensei.com/jlpt-n5-kanji-list/,https://www.kanshudo.com/collections/jlpt_kanji | https://kanjikana.com/en/kanji/jlpt/n5,Core 80 N5 study list; JLPT does not publish an official exact kanji list after the 2010 revision.
kanji_n5_017,N5,core_80_common_n5,17,月,U+6708,CJK UNIFIED IDEOGRAPH-6708,4,"getsu, gatsu","ゲツ, ガツ",tsuki,つき,"month, moon",bulan; bulan kalender,月曜日,げつようび,getsuyoubi,Senin,月曜日に学校へ行きます。,Saya pergi ke sekolah hari Senin.,Bulan sabit yang jadi penanda bulan kalender.,月,/assets/audio/kanji/n5/017_月.mp3,/assets/stroke-order/kanji/6708.svg,https://jlptsensei.com/jlpt-n5-kanji-list/,https://www.kanshudo.com/collections/jlpt_kanji | https://kanjikana.com/en/kanji/jlpt/n5,Core 80 N5 study list; JLPT does not publish an official exact kanji list after the 2010 revision.
