id,jlpt_level,set_type,display_order,counter_id,counter_symbol,counter_category,number_value,form_kanji,reading_kana,romaji,reading_alt_kana,romaji_alt,meaning_id,example_noun_jp,example_phrase_jp,example_sentence_jp,example_sentence_id,is_irregular,is_common,recommended_for_quiz,source_url,notes
cnt_form_n5_0001,N5,counter_form_n5,1,ctr_tsu,つ,general_objects,1,一つ,ひとつ,hitotsu,,,satu buah,りんご,りんご一つ,,,true,true,true,https://preply.com/en/blog/japanese-counters/,
cnt_form_n5_0002,N5,counter_form_n5,2,ctr_tsu,つ,general_objects,2,二つ,ふたつ,futatsu,,,dua buah,りんご,りんご二つ,,,true,true,true,https://preply.com/en/blog/japanese-counters/,
cnt_form_n5_0003,N5,counter_form_n5,3,ctr_tsu,つ,general_objects,3,三つ,みっつ,mittsu,,,tiga buah,りんご,りんご三つ,りんごを三つ買いました。,Saya membeli tiga apel.,true,true,true,https://preply.com/en/blog/japanese-counters/,
cnt_form_n5_0004,N5,counter_form_n5,4,ctr_tsu,つ,general_objects,4,四つ,よっつ,yottsu,,,empat buah,りんご,りんご四つ,,,true,true,true,https://preply.com/en/blog/japanese-counters/,
cnt_form_n5_0005,N5,counter_form_n5,5,ctr_tsu,つ,general_objects,5,五つ,いつつ,itsutsu,,,lima buah,りんご,りんご五つ,,,true,true,true,https://preply.com/en/blog/japanese-counters/,
cnt_form_n5_0006,N5,counter_form_n5,6,ctr_tsu,つ,general_objects,6,六つ,むっつ,muttsu,,,enam buah,りんご,りんご六つ,,,true,true,true,https://preply.com/en/blog/japanese-counters/,
cnt_form_n5_0007,N5,counter_form_n5,7,ctr_tsu,つ,general_objects,7,七つ,ななつ,nanatsu,,,tujuh buah,りんご,りんご七つ,,,false,true,true,https://preply.com/en/blog/japanese-counters/,
cnt_form_n5_0008,N5,counter_form_n5,8,ctr_tsu,つ,general_objects,8,八つ,やっつ,yattsu,,,delapan buah,りんご,りんご八つ,,,true,true,true,https://preply.com/en/blog/japanese-counters/,
cnt_form_n5_0009,N5,counter_form_n5,9,ctr_tsu,つ,general_objects,9,九つ,ここのつ,kokonotsu,,,sembilan buah,りんご,りんご九つ,,,true,true,true,https://preply.com/en/blog/japanese-counters/,
cnt_form_n5_0010,N5,counter_form_n5,10,ctr_tsu,つ,general_objects,10,十,とお,too,,,sepuluh buah,りんご,りんご十,,,true,true,true,https://preply.com/en/blog/japanese-counters/,
cnt_form_n5_0011,N5,counter_form_n5,11,ctr_tsu,つ,general_objects,how_many,いくつ,いくつ,ikutsu,,,berapa buah,りんご,りんごはいくつですか,,,false,true,true,https://preply.com/en/blog/japanese-counters/,
