id,jlpt_level,set_type,display_order,rule_family,form_key,form_name_id,meaning_id,source_form,verb_group,applies_to_ending,match_condition,operation,stem_change,append_text,result_formula_id,example_verb,example_reading,example_romaji,example_result,example_result_romaji,example_meaning_id,polarity,tense,politeness,used_by_grammar_points,is_core_n5,recommended_for_quiz,priority,source_url,notes
vcr_n5_001,N5,engine_support,1,verb_group_detection,detect_group_from_vocab,Deteksi grup dari data kosakata,Gunakan kolom verb_group di tabel vocab sebagai sumber utama.,dictionary,any,any,vocabulary.verb_group is present,read_metadata,,,group = vocabulary.verb_group,帰る,かえる,kaeru,godan,godan,Pulang; contoh る-verb yang bukan ichidan.,,,,,true,false,1,https://www.tofugu.com/japanese-grammar/verb-conjugation-groups/,Paling aman: simpan group per verb. Jangan hanya tebak dari akhiran karena ada る-verb pengecualian.
vcr_n5_002,N5,engine_support,2,verb_group_detection,detect_irregular_suru,Deteksi irregular する,する dan compound 〜する diperlakukan sebagai irregular/suru verb.,dictionary,irregular_suru,する,dictionary_form == する OR ends_with(する),classify,,,group = irregular_suru,勉強する,べんきょうする,benkyou suru,irregular_suru,suru-verb,Belajar / melakukan belajar.,,,,,true,true,1,https://www.tofugu.com/japanese-grammar/verb-conjugation-groups/,"Compound noun + する sangat umum di N5: 勉強する, 散歩する, 買い物する."
vcr_n5_003,N5,engine_support,3,verb_group_detection,detect_irregular_kuru,Deteksi irregular 来る,来る / くる adalah irregular verb.,dictionary,irregular_kuru,来る|くる,"dictionary_form in [来る,くる]",classify,,,group = irregular_kuru,来る,くる,kuru,irregular_kuru,kuru-verb,Datang.,,,,,true,true,1,https://www.tofugu.com/japanese-grammar/verb-conjugation-groups/,"Stem bisa berubah: きます, こない, きて, きた."
vcr_n5_004,N5,engine_support,4,verb_group_detection,detect_ichidan_candidate,Kandidat ichidan,"Banyak verb yang berakhir いる/える adalah ichidan, tapi tidak semua.",dictionary,ichidan,いる|える,"ends_with(いる) OR ends_with(える), except known godan exceptions",classify_candidate,,,group = ichidan_candidate,食べる,たべる,taberu,ichidan,ichidan,Makan.,,,,,true,true,2,https://www.tofugu.com/japanese-grammar/verb-conjugation-groups/,"Untuk production, tetap pakai dictionary metadata karena 入る/帰る/走る/切る adalah godan."
vcr_n5_005,N5,engine_support,5,verb_group_detection,detect_godan_u,Deteksi godan akhiran う,Verb godan yang berakhir う.,dictionary,godan,う,verb_group == godan AND ends_with(う),classify,,,group = godan_う,買う,かう,kau,godan_u,godan_u,Contoh verb godan.,,,,,true,false,2,https://www.tofugu.com/japanese-grammar/verb-conjugation-groups/,Godan mengubah bunyi akhir sesuai baris kana untuk berbagai bentuk.
vcr_n5_006,N5,engine_support,6,verb_group_detection,detect_godan_ku,Deteksi godan akhiran く,Verb godan yang berakhir く.,dictionary,godan,く,verb_group == godan AND ends_with(く),classify,,,group = godan_く,書く,かく,kaku,godan_ku,godan_ku,Contoh verb godan.,,,,,true,false,2,https://www.tofugu.com/japanese-grammar/verb-conjugation-groups/,Godan mengubah bunyi akhir sesuai baris kana untuk berbagai bentuk.
vcr_n5_007,N5,engine_support,7,verb_group_detection,detect_godan_gu,Deteksi godan akhiran ぐ,Verb godan yang berakhir ぐ.,dictionary,godan,ぐ,verb_group == godan AND ends_with(ぐ),classify,,,group = godan_ぐ,泳ぐ,およぐ,oyogu,godan_gu,godan_gu,Contoh verb godan.,,,,,true,false,2,https://www.tofugu.com/japanese-grammar/verb-conjugation-groups/,Godan mengubah bunyi akhir sesuai baris kana untuk berbagai bentuk.
vcr_n5_008,N5,engine_support,8,verb_group_detection,detect_godan_su,Deteksi godan akhiran す,Verb godan yang berakhir す.,dictionary,godan,す,verb_group == godan AND ends_with(す),classify,,,group = godan_す,話す,はなす,hanasu,godan_su,godan_su,Contoh verb godan.,,,,,true,false,2,https://www.tofugu.com/japanese-grammar/verb-conjugation-groups/,Godan mengubah bunyi akhir sesuai baris kana untuk berbagai bentuk.
vcr_n5_009,N5,engine_support,9,verb_group_detection,detect_godan_tsu,Deteksi godan akhiran つ,Verb godan yang berakhir つ.,dictionary,godan,つ,verb_group == godan AND ends_with(つ),classify,,,group = godan_つ,待つ,まつ,matsu,godan_tsu,godan_tsu,Contoh verb godan.,,,,,true,false,2,https://www.tofugu.com/japanese-grammar/verb-conjugation-groups/,Godan mengubah bunyi akhir sesuai baris kana untuk berbagai bentuk.
vcr_n5_010,N5,engine_support,10,verb_group_detection,detect_godan_nu,Deteksi godan akhiran ぬ,Verb godan yang berakhir ぬ.,dictionary,godan,ぬ,verb_group == godan AND ends_with(ぬ),classify,,,group = godan_ぬ,死ぬ,しぬ,shinu,godan_nu,godan_nu,Contoh verb godan.,,,,,true,false,2,https://www.tofugu.com/japanese-grammar/verb-conjugation-groups/,Godan mengubah bunyi akhir sesuai baris kana untuk berbagai bentuk.
vcr_n5_011,N5,engine_support,11,verb_group_detection,detect_godan_bu,Deteksi godan akhiran ぶ,Verb godan yang berakhir ぶ.,dictionary,godan,ぶ,verb_group == godan AND ends_with(ぶ),classify,,,group = godan_ぶ,遊ぶ,あそぶ,asobu,godan_bu,godan_bu,Contoh verb godan.,,,,,true,false,2,https://www.tofugu.com/japanese-grammar/verb-conjugation-groups/,Godan mengubah bunyi akhir sesuai baris kana untuk berbagai bentuk.
vcr_n5_012,N5,engine_support,12,verb_group_detection,detect_godan_mu,Deteksi godan akhiran む,Verb godan yang berakhir む.,dictionary,godan,む,verb_group == godan AND ends_with(む),classify,,,group = godan_む,読む,よむ,yomu,godan_mu,godan_mu,Contoh verb godan.,,,,,true,false,2,https://www.tofugu.com/japanese-grammar/verb-conjugation-groups/,Godan mengubah bunyi akhir sesuai baris kana untuk berbagai bentuk.
vcr_n5_013,N5,engine_support,13,verb_group_detection,detect_godan_ru,Deteksi godan akhiran る,Verb godan yang berakhir る.,dictionary,godan,る,verb_group == godan AND ends_with(る),classify,,,group = godan_る,帰る,かえる,kaeru,godan_ru,godan_ru,Contoh verb godan.,,,,,true,false,2,https://www.tofugu.com/japanese-grammar/verb-conjugation-groups/,Godan mengubah bunyi akhir sesuai baris kana untuk berbagai bentuk.
vcr_n5_014,N5,core_n5_conjugation,14,basic_form,dictionary_form,Bentuk kamus,Bentuk dasar/plain non-past affirmative.,dictionary,any,any,any verb,identity,,,dictionary_form,食べる,たべる,taberu,食べる,taberu,Makan.,affirmative,non_past,plain,plain_form|から|ので|前に,true,true,1,https://www.mlcjapanese.co.jp/n5_06_01.html,Dipakai sebagai base input utama.
vcr_n5_015,N5,core_n5_conjugation,15,stem_conversion,masu_stem,ます stem / renyoukei,Stem untuk bentuk sopan dan beberapa pola N5.,dictionary,ichidan,る,verb_group == ichidan AND ending matches る,drop_final_kana,る->,,dictionary -> masu_stem,食べる,たべる,taberu,食べ,tabe,Stem sebelum ます.,neutral,none,neutral,ます|ません|ました|ませんでした|たい|ましょう|ませんか|に行く,true,true,1,https://www.tofugu.com/japanese-grammar/verb-conjugation-groups/,"Untuk 来る, simpan reading_override=き saat menghasilkan きます."
vcr_n5_016,N5,core_n5_conjugation,16,stem_conversion,masu_stem,ます stem / renyoukei,Stem untuk bentuk sopan dan beberapa pola N5.,dictionary,godan,う,verb_group == godan AND ending matches う,replace_last_kana,う->い,,dictionary -> masu_stem,買う,かう,kau,買い,kai,Stem sebelum ます.,neutral,none,neutral,ます|ません|ました|ませんでした|たい|ましょう|ませんか|に行く,true,true,1,https://www.tofugu.com/japanese-grammar/verb-conjugation-groups/,"Untuk 来る, simpan reading_override=き saat menghasilkan きます."
vcr_n5_017,N5,core_n5_conjugation,17,stem_conversion,masu_stem,ます stem / renyoukei,Stem untuk bentuk sopan dan beberapa pola N5.,dictionary,godan,く,verb_group == godan AND ending matches く,replace_last_kana,く->き,,dictionary -> masu_stem,書く,かく,kaku,書き,kaki,Stem sebelum ます.,neutral,none,neutral,ます|ません|ました|ませんでした|たい|ましょう|ませんか|に行く,true,true,1,https://www.tofugu.com/japanese-grammar/verb-conjugation-groups/,"Untuk 来る, simpan reading_override=き saat menghasilkan きます."
vcr_n5_018,N5,core_n5_conjugation,18,stem_conversion,masu_stem,ます stem / renyoukei,Stem untuk bentuk sopan dan beberapa pola N5.,dictionary,godan,ぐ,verb_group == godan AND ending matches ぐ,replace_last_kana,ぐ->ぎ,,dictionary -> masu_stem,泳ぐ,およぐ,oyogu,泳ぎ,oyogi,Stem sebelum ます.,neutral,none,neutral,ます|ません|ました|ませんでした|たい|ましょう|ませんか|に行く,true,true,1,https://www.tofugu.com/japanese-grammar/verb-conjugation-groups/,"Untuk 来る, simpan reading_override=き saat menghasilkan きます."
vcr_n5_019,N5,core_n5_conjugation,19,stem_conversion,masu_stem,ます stem / renyoukei,Stem untuk bentuk sopan dan beberapa pola N5.,dictionary,godan,す,verb_group == godan AND ending matches す,replace_last_kana,す->し,,dictionary -> masu_stem,話す,はなす,hanasu,話し,hanashi,Stem sebelum ます.,neutral,none,neutral,ます|ません|ました|ませんでした|たい|ましょう|ませんか|に行く,true,true,1,https://www.tofugu.com/japanese-grammar/verb-conjugation-groups/,"Untuk 来る, simpan reading_override=き saat menghasilkan きます."
vcr_n5_020,N5,core_n5_conjugation,20,stem_conversion,masu_stem,ます stem / renyoukei,Stem untuk bentuk sopan dan beberapa pola N5.,dictionary,godan,つ,verb_group == godan AND ending matches つ,replace_last_kana,つ->ち,,dictionary -> masu_stem,待つ,まつ,matsu,待ち,machi,Stem sebelum ます.,neutral,none,neutral,ます|ません|ました|ませんでした|たい|ましょう|ませんか|に行く,true,true,1,https://www.tofugu.com/japanese-grammar/verb-conjugation-groups/,"Untuk 来る, simpan reading_override=き saat menghasilkan きます."
vcr_n5_021,N5,core_n5_conjugation,21,stem_conversion,masu_stem,ます stem / renyoukei,Stem untuk bentuk sopan dan beberapa pola N5.,dictionary,godan,ぬ,verb_group == godan AND ending matches ぬ,replace_last_kana,ぬ->に,,dictionary -> masu_stem,死ぬ,しぬ,shinu,死に,shini,Stem sebelum ます.,neutral,none,neutral,ます|ません|ました|ませんでした|たい|ましょう|ませんか|に行く,true,true,1,https://www.tofugu.com/japanese-grammar/verb-conjugation-groups/,"Untuk 来る, simpan reading_override=き saat menghasilkan きます."
vcr_n5_022,N5,core_n5_conjugation,22,stem_conversion,masu_stem,ます stem / renyoukei,Stem untuk bentuk sopan dan beberapa pola N5.,dictionary,godan,ぶ,verb_group == godan AND ending matches ぶ,replace_last_kana,ぶ->び,,dictionary -> masu_stem,遊ぶ,あそぶ,asobu,遊び,asobi,Stem sebelum ます.,neutral,none,neutral,ます|ません|ました|ませんでした|たい|ましょう|ませんか|に行く,true,true,1,https://www.tofugu.com/japanese-grammar/verb-conjugation-groups/,"Untuk 来る, simpan reading_override=き saat menghasilkan きます."
vcr_n5_023,N5,core_n5_conjugation,23,stem_conversion,masu_stem,ます stem / renyoukei,Stem untuk bentuk sopan dan beberapa pola N5.,dictionary,godan,む,verb_group == godan AND ending matches む,replace_last_kana,む->み,,dictionary -> masu_stem,読む,よむ,yomu,読み,yomi,Stem sebelum ます.,neutral,none,neutral,ます|ません|ました|ませんでした|たい|ましょう|ませんか|に行く,true,true,1,https://www.tofugu.com/japanese-grammar/verb-conjugation-groups/,"Untuk 来る, simpan reading_override=き saat menghasilkan きます."
vcr_n5_024,N5,core_n5_conjugation,24,stem_conversion,masu_stem,ます stem / renyoukei,Stem untuk bentuk sopan dan beberapa pola N5.,dictionary,godan,る,verb_group == godan AND ending matches る,replace_last_kana,る->り,,dictionary -> masu_stem,帰る,かえる,kaeru,帰り,kaeri,Stem sebelum ます.,neutral,none,neutral,ます|ません|ました|ませんでした|たい|ましょう|ませんか|に行く,true,true,1,https://www.tofugu.com/japanese-grammar/verb-conjugation-groups/,"Untuk 来る, simpan reading_override=き saat menghasilkan きます."
vcr_n5_025,N5,core_n5_conjugation,25,stem_conversion,masu_stem,ます stem / renyoukei,Stem untuk bentuk sopan dan beberapa pola N5.,dictionary,irregular_suru,する,verb_group == irregular_suru AND ending matches する,replace_whole_word,する->し,,dictionary -> masu_stem,する,する,suru,し,shi,Stem sebelum ます.,neutral,none,neutral,ます|ません|ました|ませんでした|たい|ましょう|ませんか|に行く,true,true,1,https://www.tofugu.com/japanese-grammar/verb-conjugation-groups/,"Untuk 来る, simpan reading_override=き saat menghasilkan きます."
vcr_n5_026,N5,core_n5_conjugation,26,stem_conversion,masu_stem,ます stem / renyoukei,Stem untuk bentuk sopan dan beberapa pola N5.,dictionary,irregular_kuru,来る|くる,verb_group == irregular_kuru AND ending matches 来る|くる,replace_whole_word,来る->来(き),,dictionary -> masu_stem,来る,くる,kuru,来,ki,Stem sebelum ます.,neutral,none,neutral,ます|ません|ました|ませんでした|たい|ましょう|ませんか|に行く,true,true,1,https://www.tofugu.com/japanese-grammar/verb-conjugation-groups/,"Untuk 来る, simpan reading_override=き saat menghasilkan きます."
vcr_n5_027,N5,core_n5_conjugation,27,auxiliary_suffix,masu_form,Bentuk ます,bentuk sopan non-lampau afirmatif,masu_stem,any,any,masu_stem exists,append_suffix,,ます,masu_stem + ます,読む,よむ,yomu,読みます,yomimasu,Membaca.,affirmative,non_past,polite,ます,true,true,1,https://nihongoichiban.com/2011/09/08/japanese-grammar-of-verbs-for-jlpt-n5/,Bisa dijalankan setelah rule masu_stem.
vcr_n5_028,N5,core_n5_conjugation,28,auxiliary_suffix,masen_form,Bentuk ません,bentuk sopan negatif non-lampau,masu_stem,any,any,masu_stem exists,append_suffix,,ません,masu_stem + ません,読む,よむ,yomu,読みません,yomimasen,Membaca.,negative,non_past,polite,ません,true,true,1,https://nihongoichiban.com/2011/09/08/japanese-grammar-of-verbs-for-jlpt-n5/,Bisa dijalankan setelah rule masu_stem.
vcr_n5_029,N5,core_n5_conjugation,29,auxiliary_suffix,mashita_form,Bentuk ました,bentuk sopan lampau afirmatif,masu_stem,any,any,masu_stem exists,append_suffix,,ました,masu_stem + ました,読む,よむ,yomu,読みました,yomimashita,Membaca.,affirmative,past,polite,ました,true,true,1,https://nihongoichiban.com/2011/09/08/japanese-grammar-of-verbs-for-jlpt-n5/,Bisa dijalankan setelah rule masu_stem.
