id,jlpt_level,set_type,display_order,sentence_jp,sentence_kana,sentence_romaji,meaning_id,meaning_en,difficulty_level,sentence_type,target_vocab_ids,target_vocab_terms,target_grammar_ids,target_grammar_points,target_kanji_ids,target_kanji_chars,tags,recommended_for_flashcard,recommended_for_quiz,audio_path,illustration_path,source_basis,source_url,review_status,notes
ex_n5_0001,N5,grammar_seed_example,1,ここで写真を撮っちゃいけません。,,Koko de shashin o totcha ikemasen.,Tidak boleh mengambil foto di sini.,,1,grammar,,,grm_n5_001,ちゃいけない・じゃいけない,,,"grammar,prohibition,requests_rules",true,true,/assets/audio/examples/n5/0001.mp3,/assets/illustrations/examples/n5/0001.svg,derived_from_local_jlpt_n5_grammar_seed,https://jlptsensei.com/jlpt-n5-grammar-list/,curated_seed_reviewed_lightly,Imported from grammar seed example fields.
ex_n5_0002,N5,grammar_seed_example,2,私は学生です。,,Watashi wa gakusei desu.,Saya adalah pelajar.,,1,grammar,,,grm_n5_002,だ / です,kanji_n5_031|kanji_n5_021,学生,"grammar,copula,basic_sentence",true,true,/assets/audio/examples/n5/0002.mp3,/assets/illustrations/examples/n5/0002.svg,derived_from_local_jlpt_n5_grammar_seed,https://jlptsensei.com/jlpt-n5-grammar-list/,curated_seed_reviewed_lightly,Imported from grammar seed example fields.
ex_n5_0003,N5,grammar_seed_example,3,水だけ飲みます。,,Mizu dake nomimasu.,Saya hanya minum air.,,1,grammar,,,grm_n5_003,だけ,kanji_n5_054|kanji_n5_082,水飲,"grammar,limitation,basic_expression",true,true,/assets/audio/examples/n5/0003.mp3,/assets/illustrations/examples/n5/0003.svg,derived_from_local_jlpt_n5_grammar_seed,https://jlptsensei.com/jlpt-n5-grammar-list/,curated_seed_reviewed_lightly,Imported from grammar seed example fields.
ex_n5_0004,N5,grammar_seed_example,4,明日は雨だろう。,,Ashita wa ame darou.,Besok mungkin hujan.,,1,grammar,,,grm_n5_004,だろう,kanji_n5_001|kanji_n5_080,日雨,"grammar,modality,sentence_ending",true,true,/assets/audio/examples/n5/0004.mp3,/assets/illustrations/examples/n5/0004.svg,derived_from_local_jlpt_n5_grammar_seed,https://jlptsensei.com/jlpt-n5-grammar-list/,curated_seed_reviewed_lightly,Imported from grammar seed example fields.
ex_n5_0005,N5,grammar_seed_example,5,図書館で勉強します。,,Toshokan de benkyou shimasu.,Saya belajar di perpustakaan.,,1,grammar,,,grm_n5_005,で,kanji_n5_049,書,"grammar,particle,particles",true,true,/assets/audio/examples/n5/0005.mp3,/assets/illustrations/examples/n5/0005.svg,derived_from_local_jlpt_n5_grammar_seed,https://jlptsensei.com/jlpt-n5-grammar-list/,curated_seed_reviewed_lightly,Imported from grammar seed example fields.
ex_n5_0006,N5,grammar_seed_example,6,雨です。でも行きます。,,Ame desu. Demo ikimasu.,Hujan. Tapi saya pergi.,,1,grammar,,,grm_n5_006,でも,kanji_n5_080|kanji_n5_015,雨行,"grammar,connector,connectors",true,true,/assets/audio/examples/n5/0006.mp3,/assets/illustrations/examples/n5/0006.svg,derived_from_local_jlpt_n5_grammar_seed,https://jlptsensei.com/jlpt-n5-grammar-list/,curated_seed_reviewed_lightly,Imported from grammar seed example fields.
ex_n5_0007,N5,grammar_seed_example,7,明日は暑いでしょう。,,Ashita wa atsui deshou.,Besok mungkin panas.,,1,grammar,,,grm_n5_007,でしょう,kanji_n5_001,日,"grammar,modality,sentence_ending",true,true,/assets/audio/examples/n5/0007.mp3,/assets/illustrations/examples/n5/0007.svg,derived_from_local_jlpt_n5_grammar_seed,https://jlptsensei.com/jlpt-n5-grammar-list/,curated_seed_reviewed_lightly,Imported from grammar seed example fields.
ex_n5_0008,N5,grammar_seed_example,8,どんな本が好きですか。,,Donna hon ga suki desu ka.,Kamu suka buku seperti apa?,,1,grammar,,,grm_n5_008,どんな,kanji_n5_009,本,"grammar,question_word,questions",true,true,/assets/audio/examples/n5/0008.mp3,/assets/illustrations/examples/n5/0008.svg,derived_from_local_jlpt_n5_grammar_seed,https://jlptsensei.com/jlpt-n5-grammar-list/,curated_seed_reviewed_lightly,Imported from grammar seed example fields.
ex_n5_0009,N5,grammar_seed_example,9,どうして来ませんか。,,Doushite kimasen ka.,Kenapa tidak datang?,,1,grammar,,,grm_n5_009,どうして,kanji_n5_039,来,"grammar,question_word,questions",true,true,/assets/audio/examples/n5/0009.mp3,/assets/illustrations/examples/n5/0009.svg,derived_from_local_jlpt_n5_grammar_seed,https://jlptsensei.com/jlpt-n5-grammar-list/,curated_seed_reviewed_lightly,Imported from grammar seed example fields.
ex_n5_0010,N5,grammar_seed_example,10,どうやって駅へ行きますか。,,Douyatte eki e ikimasu ka.,Bagaimana cara pergi ke stasiun?,,1,grammar,,,grm_n5_010,どうやって,kanji_n5_083|kanji_n5_015,駅行,"grammar,question_word,questions",true,true,/assets/audio/examples/n5/0010.mp3,/assets/illustrations/examples/n5/0010.svg,derived_from_local_jlpt_n5_grammar_seed,https://jlptsensei.com/jlpt-n5-grammar-list/,curated_seed_reviewed_lightly,Imported from grammar seed example fields.
ex_n5_0011,N5,grammar_seed_example,11,猫がいます。,,Neko ga imasu.,Ada kucing.,,1,grammar,,,grm_n5_011,が,,,"grammar,particle,particles",true,true,/assets/audio/examples/n5/0011.mp3,/assets/illustrations/examples/n5/0011.svg,derived_from_local_jlpt_n5_grammar_seed,https://jlptsensei.com/jlpt-n5-grammar-list/,curated_seed_reviewed_lightly,Imported from grammar seed example fields.
ex_n5_0012,N5,grammar_seed_example,12,机の上に本があります。,,Tsukue no ue ni hon ga arimasu.,Ada buku di atas meja.,,1,grammar,,,grm_n5_012,があります,kanji_n5_024|kanji_n5_009,上本,"grammar,existence,existence",true,true,/assets/audio/examples/n5/0012.mp3,/assets/illustrations/examples/n5/0012.svg,derived_from_local_jlpt_n5_grammar_seed,https://jlptsensei.com/jlpt-n5-grammar-list/,curated_seed_reviewed_lightly,Imported from grammar seed example fields.
ex_n5_0013,N5,grammar_seed_example,13,新しいかばんがほしいです。,,Atarashii kaban ga hoshii desu.,Saya ingin tas baru.,,1,grammar,,,grm_n5_013,がほしい,kanji_n5_096,新,"grammar,desire,desire",true,true,/assets/audio/examples/n5/0013.mp3,/assets/illustrations/examples/n5/0013.svg,derived_from_local_jlpt_n5_grammar_seed,https://jlptsensei.com/jlpt-n5-grammar-list/,curated_seed_reviewed_lightly,Imported from grammar seed example fields.
ex_n5_0014,N5,grammar_seed_example,14,教室に先生がいます。,,Kyoushitsu ni sensei ga imasu.,Ada guru di kelas.,,1,grammar,,,grm_n5_014,がいます,kanji_n5_050|kanji_n5_021,先生,"grammar,existence,existence",true,true,/assets/audio/examples/n5/0014.mp3,/assets/illustrations/examples/n5/0014.svg,derived_from_local_jlpt_n5_grammar_seed,https://jlptsensei.com/jlpt-n5-grammar-list/,curated_seed_reviewed_lightly,Imported from grammar seed example fields.
ex_n5_0015,N5,grammar_seed_example,15,早く寝たほうがいいです。,,Hayaku neta hou ga ii desu.,Sebaiknya tidur lebih awal.,,1,grammar,,,grm_n5_015,ほうがいい,,,"grammar,advice,advice",true,true,/assets/audio/examples/n5/0015.mp3,/assets/illustrations/examples/n5/0015.svg,derived_from_local_jlpt_n5_grammar_seed,https://jlptsensei.com/jlpt-n5-grammar-list/,curated_seed_reviewed_lightly,Imported from grammar seed example fields.
ex_n5_0016,N5,grammar_seed_example,16,高い本です。,,Takai hon desu.,Ini buku mahal.,,1,grammar,,,grm_n5_016,い-adjectives,kanji_n5_032|kanji_n5_009,高本,"grammar,adjective,adjectives",true,true,/assets/audio/examples/n5/0016.mp3,/assets/illustrations/examples/n5/0016.svg,derived_from_local_jlpt_n5_grammar_seed,https://jlptsensei.com/jlpt-n5-grammar-list/,curated_seed_reviewed_lightly,Imported from grammar seed example fields.
ex_n5_0017,N5,grammar_seed_example,17,日本語が一番好きです。,,Nihongo ga ichiban suki desu.,Saya paling suka bahasa Jepang.,,1,grammar,,,grm_n5_017,一番,kanji_n5_001|kanji_n5_009|kanji_n5_060|kanji_n5_002,日本語一,"grammar,superlative,comparisons",true,true,/assets/audio/examples/n5/0017.mp3,/assets/illustrations/examples/n5/0017.svg,derived_from_local_jlpt_n5_grammar_seed,https://jlptsensei.com/jlpt-n5-grammar-list/,curated_seed_reviewed_lightly,Imported from grammar seed example fields.
ex_n5_0018,N5,grammar_seed_example,18,一緒に勉強しましょう。,,Issho ni benkyou shimashou.,Ayo belajar bersama.,,1,grammar,,,grm_n5_018,一緒に,kanji_n5_002,一,"grammar,adverbial,social",true,true,/assets/audio/examples/n5/0018.mp3,/assets/illustrations/examples/n5/0018.svg,derived_from_local_jlpt_n5_grammar_seed,https://jlptsensei.com/jlpt-n5-grammar-list/,curated_seed_reviewed_lightly,Imported from grammar seed example fields.
ex_n5_0019,N5,grammar_seed_example,19,いつも七時に起きます。,,Itsumo shichi-ji ni okimasu.,Saya selalu bangun jam tujuh.,,1,grammar,,,grm_n5_019,いつも,kanji_n5_042|kanji_n5_014,七時,"grammar,adverb,frequency",true,true,/assets/audio/examples/n5/0019.mp3,/assets/illustrations/examples/n5/0019.svg,derived_from_local_jlpt_n5_grammar_seed,https://jlptsensei.com/jlpt-n5-grammar-list/,curated_seed_reviewed_lightly,Imported from grammar seed example fields.
