id,jlpt_level,tree_version,node_type,parent_id,path,slug,display_order,title_id,title_en,description_id,content_type,skill_domain,lesson_group,route_path,icon_key,estimated_minutes,target_xp,coin_reward,difficulty_order,unlock_order,is_mvp,is_required_for_n5,is_checkpoint,checkpoint_type,completion_rule_key,completion_rule_json,primary_dataset_refs,secondary_dataset_refs,item_filter_json,quiz_section_id,srs_deck_key,prerequisite_mode,recommended_review_after_days,tags,source_basis,source_url,notes
course_n5,N5,n5_mvp_v1,course,,n5,jlpt-n5-roadmap,1,JLPT N5 Roadmap,JLPT N5 Roadmap,Roadmap belajar Jepang N5 dari kana sampai mock test.,course,mixed,n5,/learn/n5,mixed,0,0,0,1,0,true,true,false,,complete_required_children,"{""required_node_type"": ""phase"", ""min_completion_percent"": 100}",all_seed_files,,{},,,all,,"course,n5,roadmap",official_jlpt_sections_plus_curated_app_sequence,https://www.jlpt.jp/sp/e/guideline/testsections.html,
phase_00,N5,n5_mvp_v1,phase,course_n5,n5/phase_00,getting-started,2,Getting Started,Getting Started,"Mulai dari setting app, input Jepang, dan placement ringan.",phase_overview,onboarding,phase_00,/learn/n5/phase_00,onboarding,0,50,5,1,0,true,true,false,,complete_required_children,"{""required_node_type"": ""lesson"", ""min_completion_percent"": 85}",,,{},,,all,,"phase,onboarding",official_jlpt_sections_plus_mlc_topic_hub,https://www.mlcjapanese.co.jp/n5.html,
phase_01,N5,n5_mvp_v1,phase,course_n5,n5/phase_01,kana-foundation,3,Kana Foundation,Kana Foundation,"Hiragana, katakana, tanda baca, dakuten, yōon, dan typing.",phase_overview,kana,phase_01,/learn/n5/phase_01,kana,0,50,5,2,1,true,true,false,,complete_required_children,"{""required_node_type"": ""lesson"", ""min_completion_percent"": 85}",,,{},,,all,,"phase,kana",official_jlpt_sections_plus_mlc_topic_hub,https://www.mlcjapanese.co.jp/n5.html,
phase_02,N5,n5_mvp_v1,phase,course_n5,n5/phase_02,sentence-foundation,4,Sentence Foundation,Sentence Foundation,"Pola kalimat dasar, partikel inti, pertanyaan, lokasi, arimasu/imasu.",phase_overview,grammar,phase_02,/learn/n5/phase_02,grammar,0,50,5,3,2,true,true,false,,complete_required_children,"{""required_node_type"": ""lesson"", ""min_completion_percent"": 85}",,,{},,,all,,"phase,grammar",official_jlpt_sections_plus_mlc_topic_hub,https://www.jlpt.jp/sp/e/guideline/testsections.html,
phase_03,N5,n5_mvp_v1,phase,course_n5,n5/phase_03,core-vocabulary,5,Core Vocabulary,Core Vocabulary,Kosakata inti N5 per tema plus flashcard deck awal.,phase_overview,vocabulary,phase_03,/learn/n5/phase_03,vocabulary,0,50,5,4,3,true,true,false,,complete_required_children,"{""required_node_type"": ""lesson"", ""min_completion_percent"": 85}",,,{},,,all,,"phase,vocabulary",official_jlpt_sections_plus_mlc_topic_hub,https://www.jlpt.jp/sp/e/guideline/testsections.html,
phase_04,N5,n5_mvp_v1,phase,course_n5,n5/phase_04,verb-and-adjective-system,6,Verb & Adjective System,Verb & Adjective System,Konjugasi kata kerja dan kata sifat yang paling sering dipakai N5.,phase_overview,grammar,phase_04,/learn/n5/phase_04,grammar,0,50,5,5,4,true,true,false,,complete_required_children,"{""required_node_type"": ""lesson"", ""min_completion_percent"": 85}",,,{},,,all,,"phase,grammar",official_jlpt_sections_plus_mlc_topic_hub,https://www.jlpt.jp/sp/e/guideline/testsections.html,
phase_05,N5,n5_mvp_v1,phase,course_n5,n5/phase_05,kanji-and-radicals,7,Kanji & Radicals,Kanji & Radicals,"Kanji N5, radical, stroke order, dan contoh kata.",phase_overview,kanji,phase_05,/learn/n5/phase_05,kanji,0,50,5,6,5,true,true,false,,complete_required_children,"{""required_node_type"": ""lesson"", ""min_completion_percent"": 85}",,,{},,,all,,"phase,kanji",official_jlpt_sections_plus_mlc_topic_hub,https://www.mlcjapanese.co.jp/n5.html,
phase_06,N5,n5_mvp_v1,phase,course_n5,n5/phase_06,numbers-time-and-counters,8,"Numbers, Time & Counters","Numbers, Time & Counters","Angka, tanggal, jam, uang, usia, dan counter Jepang.",phase_overview,numbers_counters,phase_06,/learn/n5/phase_06,numbers_counters,0,50,5,7,6,true,true,false,,complete_required_children,"{""required_node_type"": ""lesson"", ""min_completion_percent"": 85}",,,{},,,all,,"phase,numbers_counters",official_jlpt_sections_plus_mlc_topic_hub,https://www.mlcjapanese.co.jp/n5.html,
phase_07,N5,n5_mvp_v1,phase,course_n5,n5/phase_07,daily-communication,9,Daily Communication,Daily Communication,"Skenario harian: perkenalan, belanja, makan, arah, sekolah, hobi.",phase_overview,mixed,phase_07,/learn/n5/phase_07,mixed,0,50,5,8,7,true,true,false,,complete_required_children,"{""required_node_type"": ""lesson"", ""min_completion_percent"": 85}",,,{},,,all,,"phase,mixed",official_jlpt_sections_plus_mlc_topic_hub,https://www.mlcjapanese.co.jp/n5.html,
phase_08,N5,n5_mvp_v1,phase,course_n5,n5/phase_08,reading-and-listening,10,Reading & Listening,Reading & Listening,"Latihan bacaan pendek, listening, dictation, dan comprehension.",phase_overview,reading_listening,phase_08,/learn/n5/phase_08,reading_listening,0,50,5,9,8,true,true,false,,complete_required_children,"{""required_node_type"": ""lesson"", ""min_completion_percent"": 85}",,,{},,,all,,"phase,reading_listening",official_jlpt_sections_plus_mlc_topic_hub,https://www.jlpt.jp/sp/e/guideline/testsections.html,
