id,jlpt_level,display_order,skill_domain,lesson_scope,template_key,display_name_id,description_id,question_type,interaction_type,ui_component,source_dataset,source_entity_type,required_fields,prompt_template_id,stem_template_jp,stem_template_id,answer_mode,choice_count,allowed_response_format,case_sensitive,normalize_whitespace,normalize_nfkc,normalize_kana,allow_romaji,requires_audio,requires_image,requires_drag_drop,scoring_strategy,points,partial_credit,time_limit_seconds,difficulty_min,difficulty_max,distractor_strategy,validator_key,feedback_template_id,hint_template_id,recommended_for_mvp,is_jlpt_style,used_in_daily_challenge,tags,source_url,notes
qt_n5_001,N5,1,kana,kana,kana_romaji_choice,Pilih romaji kana,Pilih romaji yang benar untuk kana yang ditampilkan.,multiple_choice_single,choice_interaction,KanaChoiceCard,kana_characters_hiragana_katakana.csv,kana_character,"kana,romaji",Apa romaji dari 「{kana}」?,「{kana}」,Pilih romaji yang benar.,single,4,romaji,false,true,true,true,true,false,false,exact_match,1,false,10,1,2,same_row_or_similar_sound_romaji,romaji_exact,"Benar, 「{kana}」 dibaca {romaji}.",Ingat baris kana dan vokalnya.,true,false,true,"kana,romaji,choice",https://www.imsglobal.org/spec/qti/v3p0/guide,,Kana template for MVP quiz.
qt_n5_002,N5,2,kana,kana,kana_from_romaji_choice,Pilih kana dari romaji,Pilih kana yang sesuai dengan romaji.,multiple_choice_single,choice_interaction,KanaChoiceCard,kana_characters_hiragana_katakana.csv,kana_character,"kana,romaji",Mana kana untuk romaji “{romaji}”?,{romaji},Pilih kana yang benar.,single,4,kana,false,true,true,true,true,false,false,exact_match,1,false,10,1,2,same_row_or_similar_kana,kana_exact,"Benar, {romaji} = 「{kana}」.",Cek vokalnya dulu: a/i/u/e/o.,true,false,true,"kana,choice",https://www.imsglobal.org/spec/qti/v3p0/guide,,Kana template for MVP quiz.
qt_n5_003,N5,3,kana,kana,kana_typing,Ketik romaji kana,Ketik romaji dari kana yang muncul.,text_entry,text_entry_interaction,KanaTypingCard,kana_characters_hiragana_katakana.csv,kana_character,"kana,romaji,input_aliases",Ketik romaji dari 「{kana}」.,「{kana}」,Ketik jawabannya.,text,0,romaji|string,false,true,true,true,true,false,false,alias_match,1,false,12,1,3,none,romaji_alias,Jawaban: {romaji}.,"Kalau kana partikel, lihat konteks. Kalau kana biasa, baca apa adanya.",true,false,true,"kana,typing",https://www.imsglobal.org/spec/qti/v3p0/guide,,Kana template for MVP quiz.
qt_n5_004,N5,4,kana,kana,kana_pair_hira_kata,Pasangkan hiragana-katakana,Pasangkan hiragana dengan katakana yang bunyinya sama.,matching,match_interaction,PairMatchCard,kana_characters_hiragana_katakana.csv,kana_pair,"hiragana,katakana,romaji",Pasangkan hiragana dan katakana yang sama bunyinya.,{hiragana_items} ⇄ {katakana_items},Seret pasangan yang benar.,pairs,0,array<pair>,false,true,true,true,false,false,true,all_or_nothing_or_partial_pairs,4,true,45,1,3,same_romaji_pairs,pair_match,Pasangan benar mengikuti romaji yang sama.,"Cocokkan bunyi, bukan bentuk.",true,false,true,"kana,matching,dragdrop",https://www.imsglobal.org/spec/qti/v3p0/impl,,Kana template for MVP quiz.
qt_n5_005,N5,5,kana,kana,kana_audio_choice,Dengar lalu pilih kana,Pilih kana berdasarkan audio pengucapan.,multiple_choice_single,choice_interaction,ListeningChoiceCard,kana_characters_hiragana_katakana.csv,kana_character,"kana,romaji,audio_path","Dengarkan audio, lalu pilih kana yang benar.",[audio:{audio_path}],Pilih kana yang kamu dengar.,single,4,kana,false,true,true,true,true,true,false,exact_match,1,false,12,1,3,similar_sound_kana,kana_exact,Audio tersebut adalah 「{kana}」.,Dengarkan vokalnya dulu.,true,false,true,"kana,listening",https://www.imsglobal.org/spec/qti/v3p0/guide,,Kana template for MVP quiz.
qt_n5_006,N5,6,vocabulary,vocabulary,vocab_meaning_choice,Tebak arti kosakata,Pilih arti Indonesia dari kata Jepang.,multiple_choice_single,choice_interaction,VocabChoiceCard,jlpt_n5_vocabulary_seed_with_examples.csv,vocabulary,"expression,reading,meaning_id",Apa arti dari 「{expression}」?,{expression},Pilih arti yang benar.,single,4,meaning_id,false,true,true,true,false,false,false,exact_match,1,false,15,1,4,same_pos_or_semantic_category,choice_exact,「{expression}」 berarti {meaning_id}.,Lihat kanji/kana dan konteks katanya.,true,true,true,"vocab,meaning,choice",https://www.jlpt.jp/e/samples/forlearners.html,,Vocabulary quiz template.
qt_n5_007,N5,7,vocabulary,vocabulary,vocab_reading_choice,Pilih bacaan kosakata,Pilih hiragana yang benar untuk kosakata berkanji.,multiple_choice_single,choice_interaction,VocabReadingCard,jlpt_n5_vocabulary_seed_with_examples.csv,vocabulary,"expression,reading",Bacaan yang benar untuk 「{expression}」 adalah...,{expression},Pilih bacaan hiragana.,single,4,kana,false,true,true,true,false,false,false,exact_match,1,false,15,1,4,same_kanji_or_similar_reading,kana_exact,Bacaan 「{expression}」 adalah {reading}.,Pisahkan kanji per kanji kalau perlu.,true,true,true,"vocab,reading,kanji",https://www.jlpt.jp/e/samples/forlearners.html,,Vocabulary quiz template.
qt_n5_008,N5,8,vocabulary,vocabulary,vocab_from_meaning_choice,Pilih kata Jepang,Pilih kata Jepang yang cocok dengan arti Indonesia.,multiple_choice_single,choice_interaction,ReverseVocabChoiceCard,jlpt_n5_vocabulary_seed_with_examples.csv,vocabulary,"expression,meaning_id",Mana kata Jepang untuk “{meaning_id}”?,{meaning_id},Pilih kosakata yang benar.,single,4,expression,false,true,true,true,true,false,false,exact_match,1,false,15,1,4,same_semantic_category,choice_exact,“{meaning_id}” = 「{expression}」.,Cari kata yang paling cocok dengan kategori makna.,true,false,true,"vocab,reverse,choice",https://www.imsglobal.org/spec/qti/v3p0/guide,,Vocabulary quiz template.
qt_n5_009,N5,9,vocabulary,vocabulary,vocab_typing_reading,Ketik bacaan kosakata,Ketik hiragana dari kata berkanji.,text_entry,text_entry_interaction,VocabTypingCard,jlpt_n5_vocabulary_seed_with_examples.csv,vocabulary,"expression,reading",Ketik bacaan hiragana dari 「{expression}」.,{expression},Ketik bacaan hiragana.,text,0,kana|string,false,true,true,true,false,false,false,exact_or_alias_match,2,false,20,2,5,none,kana_exact,Bacaan yang benar: {reading}.,"Ingat bacaan kosakata, bukan cuma bacaan kanji satuan.",true,false,true,"vocab,typing,reading",https://www.imsglobal.org/spec/qti/v3p0/guide,,Vocabulary quiz template.
qt_n5_010,N5,10,vocabulary,sentence,vocab_sentence_gap,Isi kata dalam kalimat,Pilih kosakata yang paling cocok untuk mengisi kalimat.,gap_fill_choice,inline_choice_interaction,GapFillCard,jlpt_n5_example_sentences_seed.csv,sentence,"sentence_jp,target_vocab_terms",Lengkapi kalimat berikut.,{sentence_with_blank},Pilih kata yang cocok.,single,4,expression,false,true,true,true,true,false,false,exact_match,2,false,25,2,5,same_pos_same_category,gap_exact,Kata yang cocok: {answer}.,Baca partikel sebelum/sesudah blank.,true,true,true,"vocab,sentence,gapfill",https://www.imsglobal.org/spec/qti/v3p0/impl,,Vocabulary quiz template.
