id,jlpt_level,set_type,display_order,counter_symbol,counter_reading_kana,counter_romaji,counter_romaji_alt,counter_category,usage_id,usage_en,example_nouns_jp,example_nouns_id,how_many_form,how_many_reading,counting_range_recommended,has_sound_changes,is_core_n5,is_common,recommended_for_quiz,source_url,notes
ctr_tsu,N5,core_n5,1,つ,つ,tsu,,general_objects,benda umum; fallback counter untuk banyak benda non-manusia,general things; fallback counter,りんご|みかん|注文,apel|jeruk|pesanan,いくつ,いくつ,1-9/10,true,true,true,true,https://preply.com/en/blog/japanese-counters/,Use mostly up to 9; 10 is とお without つ.
ctr_ko,N5,core_n5,2,個,こ,ko,,general_objects,benda kecil/3D; item satuan,small/round/3D items,卵|りんご|箱,telur|apel|kotak,何個,なんこ,1+,true,true,true,true,https://preply.com/en/blog/japanese-counters/,More scalable than つ for 10+ items.
ctr_nin,N5,core_n5,3,人,にん,nin,,people,orang,people,学生|友達|家族,murid|teman|keluarga,何人,なんにん,1+,true,true,true,true,https://preply.com/en/blog/japanese-counters/,1 and 2 are irregular: 一人/二人.
ctr_mai,N5,core_n5,4,枚,まい,mai,,flat_objects,benda tipis/datar,flat objects,紙|切符|写真|シャツ,kertas|tiket|foto|baju,何枚,なんまい,1+,false,true,true,true,https://preply.com/en/blog/japanese-counters/,No major sound changes.
ctr_hon,N5,core_n5,5,本,ほん,hon,pon|bon,long_objects,benda panjang/silinder,long cylindrical objects,ペン|瓶|傘|バナナ,pena|botol|payung|pisang,何本,なんぼん,1+,true,true,true,true,https://preply.com/en/blog/japanese-counters/,Sound changes: ぽん/ぼん/ほん.
ctr_satsu,N5,core_n5,6,冊,さつ,satsu,,books,buku/jilid,books/notebooks,本|ノート|雑誌,buku|notebook|majalah,何冊,なんさつ,1+,true,true,true,true,https://preply.com/en/blog/japanese-counters/,"1, 8, 10 often contract."
ctr_dai,N5,core_n5,7,台,だい,dai,,machines_vehicles,mesin/kendaraan/perabot besar,"machines, vehicles, furniture",車|自転車|パソコン,mobil|sepeda|komputer,何台,なんだい,1+,false,true,true,true,https://preply.com/en/blog/japanese-counters/,Very common for vehicles and devices.
ctr_hiki,N5,core_n5,8,匹,ひき,hiki,piki|biki,small_animals,hewan kecil/serangga/ikan,"small animals, insects, fish",猫|犬|魚|虫,kucing|anjing|ikan|serangga,何匹,なんびき,1+,true,true,true,true,https://preply.com/en/blog/japanese-counters/,Sound changes: ぴき/びき/ひき.
ctr_tou,N5,extended_n5,9,頭,とう,tou,,large_animals,hewan besar,large animals,牛|馬|象,sapi|kuda|gajah,何頭,なんとう,1+,false,false,true,false,https://preply.com/en/blog/japanese-counters/,Useful but can be after core N5.
ctr_wa,N5,extended_n5,10,羽,わ,wa,,birds_rabbits,burung/kelinci,birds and rabbits,鳥|うさぎ|鶏,burung|kelinci|ayam,何羽,なんわ,1+,false,false,true,false,https://preply.com/en/blog/japanese-counters/,Often taught with animal counters.
ctr_kai_times,N5,core_n5,11,回,かい,kai,,frequency,kali/frekuensi kejadian,times/occurrences,授業|テスト|旅行,kelas|tes|perjalanan,何回,なんかい,1+,true,true,true,true,https://preply.com/en/blog/japanese-counters/,"Frequency counter, e.g. 一週間に三回."
ctr_kai_floor,N5,core_n5,12,階,かい,kai,gai,floor,lantai/tingkat gedung,floor/story of building,一階|二階|三階,lantai 1|lantai 2|lantai 3,何階,なんがい,1+,true,true,true,true,https://www.mlcjapanese.co.jp/cou.html,Reading may be かい/がい depending number.
ctr_ban,N5,core_n5,13,番,ばん,ban,,ordinal_number,nomor/urutan,number/order,番号|一番|三番,nomor|nomor satu|nomor tiga,何番,なんばん,1+,false,true,true,true,https://www.mlcjapanese.co.jp/cou.html,Used for number/order; 一番 also means most/best.
ctr_hai,N5,core_n5,14,杯,はい,hai,pai|bai,cups_liquid,gelas/cangkir/mangkuk cairan,cups/glasses/bowls of liquid,水|コーヒー|ご飯,air|kopi|nasi,何杯,なんばい,1+,true,true,true,true,https://preply.com/en/blog/japanese-counters/,Sound changes: ぱい/ばい/はい.
ctr_en,N5,core_n5,15,円,えん,en,,money,yen; mata uang Jepang,yen/currency,百円|千円|一万円,100 yen|1000 yen|10000 yen,何円,なんえん,1+,true,true,true,true,https://www.tofugu.com/japanese-grammar/date-and-time/,Useful for shopping/payment.
ctr_ji,N5,core_n5,16,時,じ,ji,,clock_time,jam pada waktu tertentu,o'clock,一時|四時|七時,jam satu|jam empat|jam tujuh,何時,なんじ,1-12/24,true,true,true,true,https://www.tofugu.com/japanese-grammar/date-and-time/,"4,7,9 have special common readings."
ctr_fun,N5,core_n5,17,分,ふん,fun,pun,minutes,menit,minutes,一分|十分|三十分,1 menit|10 menit|30 menit,何分,なんぷん,1+,true,true,true,true,https://preply.com/en/blog/japanese-counters/,Sound changes: ぷん/ふん.
