id,achievement_key,category,tier,display_order,title_id,title_en,description_id,criteria_summary_id,trigger_rule_key,metric_key,comparator,threshold_value,threshold_unit,scope_key,repeatability,repeat_limit,prerequisite_achievement_keys,reward_xp,reward_coins,reward_item_key,badge_icon_key,title_reward_key,rarity,hidden_until_unlocked,recommended_for_mvp,open_badges_compatible,open_badge_achievement_type,evidence_type,tags,source_url,notes
ach_n5_001,first_step,onboarding,bronze,1,Langkah Pertama,Langkah Pertama,Selesaikan lesson pertama.,Complete first lesson.,trigger_first_step,lessons_completed,>=,1,count,global,once,1,,25,5,title_new_learner,badge_first_step,title_new_learner,common,false,true,true,Achievement,system_metric,"onboarding,first",https://www.1edtech.org/standards/open-badges,
ach_n5_002,placement_done,onboarding,bronze,2,Cek Titik Start,Cek Titik Start,Selesaikan placement mini check.,Complete placement check.,trigger_placement_done,placement_tests_completed,>=,1,count,global,once,1,,25,5,,badge_placement_done,,common,false,true,true,Achievement,system_metric,"onboarding,bronze,n5",https://www.1edtech.org/standards/open-badges,
ach_n5_003,roadmap_10,roadmap,bronze,3,N5 Baru Panas,N5 Baru Panas,Selesaikan 10% roadmap N5.,Reach 10% N5 roadmap completion.,trigger_roadmap_10,roadmap_completion_percent,>=,10,percent,global,once,1,,50,10,,badge_roadmap_10,,common,false,true,true,Achievement,system_metric,"roadmap,bronze,n5",https://www.1edtech.org/standards/open-badges,
ach_n5_004,roadmap_25,roadmap,silver,4,Mulai Kebentuk,Mulai Kebentuk,Selesaikan 25% roadmap N5.,Reach 25% N5 roadmap completion.,trigger_roadmap_25,roadmap_completion_percent,>=,25,percent,global,once,1,,100,20,,badge_roadmap_25,,uncommon,false,true,true,Achievement,system_metric,"roadmap,silver,n5",https://www.1edtech.org/standards/open-badges,
ach_n5_005,roadmap_50,roadmap,gold,5,Setengah Jalan,Setengah Jalan,Selesaikan 50% roadmap N5.,Reach 50% N5 roadmap completion.,trigger_roadmap_50,roadmap_completion_percent,>=,50,percent,global,once,1,,200,35,,badge_roadmap_50,,rare,false,true,true,Achievement,system_metric,"roadmap,gold,n5",https://www.1edtech.org/standards/open-badges,
ach_n5_006,roadmap_75,roadmap,platinum,6,N5 Seriusan,N5 Seriusan,Selesaikan 75% roadmap N5.,Reach 75% N5 roadmap completion.,trigger_roadmap_75,roadmap_completion_percent,>=,75,percent,global,once,1,,300,50,,badge_roadmap_75,,epic,false,true,true,Achievement,system_metric,"roadmap,platinum,n5",https://www.1edtech.org/standards/open-badges,
ach_n5_007,roadmap_100,roadmap,legendary,7,N5 Finisher,N5 Finisher,Selesaikan semua lesson wajib N5.,Complete all required N5 lessons.,trigger_roadmap_100,roadmap_completion_percent,>=,100,percent,global,once,1,,600,100,avatar_n5_finisher,badge_roadmap_100,,legendary,false,true,true,Achievement,system_metric,"roadmap,legendary,n5",https://www.1edtech.org/standards/open-badges,
ach_n5_008,streak_3,streak,bronze,8,3 Hari Nyala,3 Hari Nyala,Pertahankan streak belajar 3 hari.,Maintain a 3-day daily learning streak.,trigger_streak_3,current_streak_days,>=,3,days,global,once,1,,30,5,,badge_streak_3,,common,false,true,true,Achievement,system_metric,"streak,habit,n5",https://arxiv.org/abs/2203.16175,"Keep streak motivational, not punitive."
ach_n5_009,streak_7,streak,silver,9,7 Hari Nyala,7 Hari Nyala,Pertahankan streak belajar 7 hari.,Maintain a 7-day daily learning streak.,trigger_streak_7,current_streak_days,>=,7,days,global,once,1,,80,15,,badge_streak_7,,uncommon,false,true,true,Achievement,system_metric,"streak,habit,n5",https://arxiv.org/abs/2203.16175,"Keep streak motivational, not punitive."
ach_n5_010,streak_14,streak,gold,10,14 Hari Nyala,14 Hari Nyala,Pertahankan streak belajar 14 hari.,Maintain a 14-day daily learning streak.,trigger_streak_14,current_streak_days,>=,14,days,global,once,1,,150,25,,badge_streak_14,,rare,false,true,true,Achievement,system_metric,"streak,habit,n5",https://arxiv.org/abs/2203.16175,"Keep streak motivational, not punitive."
ach_n5_011,streak_30,streak,platinum,11,30 Hari Nyala,30 Hari Nyala,Pertahankan streak belajar 30 hari.,Maintain a 30-day daily learning streak.,trigger_streak_30,current_streak_days,>=,30,days,global,once,1,,300,50,title_streak_30,badge_streak_30,title_streak_30,epic,false,true,true,Achievement,system_metric,"streak,habit,n5",https://arxiv.org/abs/2203.16175,"Keep streak motivational, not punitive."
ach_n5_012,streak_60,streak,platinum,12,60 Hari Nyala,60 Hari Nyala,Pertahankan streak belajar 60 hari.,Maintain a 60-day daily learning streak.,trigger_streak_60,current_streak_days,>=,60,days,global,once,1,,500,80,title_streak_60,badge_streak_60,title_streak_60,epic,false,true,true,Achievement,system_metric,"streak,habit,n5",https://arxiv.org/abs/2203.16175,"Keep streak motivational, not punitive."
ach_n5_013,streak_100,streak,legendary,13,100 Hari Nyala,100 Hari Nyala,Pertahankan streak belajar 100 hari.,Maintain a 100-day daily learning streak.,trigger_streak_100,current_streak_days,>=,100,days,global,once,1,,800,120,title_streak_100,badge_streak_100,title_streak_100,legendary,false,true,true,Achievement,system_metric,"streak,habit,n5",https://arxiv.org/abs/2203.16175,"Keep streak motivational, not punitive."
ach_n5_014,streak_365,streak,mythic,14,365 Hari Nyala,365 Hari Nyala,Pertahankan streak belajar 365 hari.,Maintain a 365-day daily learning streak.,trigger_streak_365,current_streak_days,>=,365,days,global,once,1,,2500,500,title_streak_365,badge_streak_365,title_streak_365,mythic,false,true,true,Achievement,system_metric,"streak,habit,n5",https://arxiv.org/abs/2203.16175,"Keep streak motivational, not punitive."
ach_n5_015,daily_challenge_1,daily_challenge,bronze,15,Challenge x1,Challenge x1,Selesaikan 1 daily challenge.,Complete 1 daily challenges.,trigger_daily_challenge_1,daily_challenges_completed,>=,1,count,global,once,1,,25,5,,badge_daily_challenge_1,,common,false,true,true,Achievement,system_metric,"daily_challenge,consistency",https://www.1edtech.org/standards/open-badges,
ach_n5_016,daily_challenge_7,daily_challenge,silver,16,Challenge x7,Challenge x7,Selesaikan 7 daily challenge.,Complete 7 daily challenges.,trigger_daily_challenge_7,daily_challenges_completed,>=,7,count,global,once,1,,75,15,,badge_daily_challenge_7,,rare,false,true,true,Achievement,system_metric,"daily_challenge,consistency",https://www.1edtech.org/standards/open-badges,
ach_n5_017,daily_challenge_30,daily_challenge,gold,17,Challenge x30,Challenge x30,Selesaikan 30 daily challenge.,Complete 30 daily challenges.,trigger_daily_challenge_30,daily_challenges_completed,>=,30,count,global,once,1,,200,40,,badge_daily_challenge_30,,rare,false,true,true,Achievement,system_metric,"daily_challenge,consistency",https://www.1edtech.org/standards/open-badges,
ach_n5_018,daily_challenge_100,daily_challenge,platinum,18,Challenge x100,Challenge x100,Selesaikan 100 daily challenge.,Complete 100 daily challenges.,trigger_daily_challenge_100,daily_challenges_completed,>=,100,count,global,once,1,,600,120,,badge_daily_challenge_100,,rare,false,true,true,Achievement,system_metric,"daily_challenge,consistency",https://www.1edtech.org/standards/open-badges,
ach_n5_019,hiragana_basic,kana,bronze,19,Hiragana Basic,Hiragana Basic,Kuasai hiragana dasar.,Complete all basic hiragana.,trigger_hiragana_basic,hiragana_basic_completed,>=,46,characters,global,once,1,,50,10,,badge_hiragana_basic,,common,false,true,true,Achievement,system_metric,"kana,script,n5",https://www.1edtech.org/standards/open-badges,
ach_n5_020,katakana_basic,kana,bronze,20,Katakana Basic,Katakana Basic,Kuasai katakana dasar.,Complete all basic katakana.,trigger_katakana_basic,katakana_basic_completed,>=,46,characters,global,once,1,,50,10,,badge_katakana_basic,,common,false,true,true,Achievement,system_metric,"kana,script,n5",https://www.1edtech.org/standards/open-badges,
ach_n5_021,dakuten_done,kana,silver,21,Dakuten Aman,Dakuten Aman,Kuasai dakuten dan handakuten.,Complete dakuten and handakuten.,trigger_dakuten_done,dakuten_handakuten_completed,>=,1,set,global,once,1,,75,15,,badge_dakuten_done,,common,false,true,true,Achievement,system_metric,"kana,script,n5",https://www.1edtech.org/standards/open-badges,
ach_n5_022,yoon_done,kana,silver,22,Yōon Rider,Yōon Rider,Kuasai combo きゃ/しゃ/ちゃ dll.,Complete yōon combinations.,trigger_yoon_done,yoon_completed,>=,1,set,global,once,1,,75,15,,badge_yoon_done,,common,false,true,true,Achievement,system_metric,"kana,script,n5",https://www.1edtech.org/standards/open-badges,
ach_n5_023,kana_typist_90,kana,gold,23,Kana Typist,Kana Typist,Capai akurasi typing kana 90%.,Reach 90% kana typing accuracy.,trigger_kana_typist_90,kana_typing_accuracy,>=,90,percent,global,once,1,,150,30,,badge_kana_typist_90,,common,false,true,true,Achievement,system_metric,"kana,script,n5",https://www.1edtech.org/standards/open-badges,
ach_n5_024,kana_master,kana,platinum,24,Kana Master,Kana Master,Lulus Kana Mastery Gate minimal 80%.,Pass kana mastery gate with at least 80%.,trigger_kana_master,kana_mastery_gate_score,>=,80,percent,global,once,1,,300,50,,badge_kana_master,,common,false,true,true,Achievement,system_metric,"kana,script,n5",https://www.1edtech.org/standards/open-badges,
ach_n5_025,vocab_25,vocabulary,bronze,25,25 Kata Masuk,25 Kata Masuk,Kuasai 25 kosakata N5.,Mark 25 N5 vocabulary cards as known.,trigger_vocab_25,vocab_known_count,>=,25,count,global,once,1,,50,10,,badge_vocab_25,,common,false,true,true,Achievement,system_metric,"vocab,n5,srs",https://www.1edtech.org/standards/open-badges,
ach_n5_026,vocab_50,vocabulary,bronze,26,50 Kata Masuk,50 Kata Masuk,Kuasai 50 kosakata N5.,Mark 50 N5 vocabulary cards as known.,trigger_vocab_50,vocab_known_count,>=,50,count,global,once,1,,75,15,,badge_vocab_50,,common,false,true,true,Achievement,system_metric,"vocab,n5,srs",https://www.1edtech.org/standards/open-badges,
ach_n5_027,vocab_100,vocabulary,silver,27,100 Kata Masuk,100 Kata Masuk,Kuasai 100 kosakata N5.,Mark 100 N5 vocabulary cards as known.,trigger_vocab_100,vocab_known_count,>=,100,count,global,once,1,,120,25,,badge_vocab_100,,uncommon,false,true,true,Achievement,system_metric,"vocab,n5,srs",https://www.1edtech.org/standards/open-badges,
ach_n5_028,vocab_250,vocabulary,gold,28,250 Kata Masuk,250 Kata Masuk,Kuasai 250 kosakata N5.,Mark 250 N5 vocabulary cards as known.,trigger_vocab_250,vocab_known_count,>=,250,count,global,once,1,,250,50,,badge_vocab_250,,rare,false,true,true,Achievement,system_metric,"vocab,n5,srs",https://www.1edtech.org/standards/open-badges,
ach_n5_029,vocab_500,vocabulary,platinum,29,500 Kata Masuk,500 Kata Masuk,Kuasai 500 kosakata N5.,Mark 500 N5 vocabulary cards as known.,trigger_vocab_500,vocab_known_count,>=,500,count,global,once,1,,500,100,,badge_vocab_500,,epic,false,true,true,Achievement,system_metric,"vocab,n5,srs",https://www.1edtech.org/standards/open-badges,
ach_n5_030,vocab_718,vocabulary,legendary,30,718 Kata Masuk,718 Kata Masuk,Kuasai 718 kosakata N5.,Mark 718 N5 vocabulary cards as known.,trigger_vocab_718,vocab_known_count,>=,718,count,global,once,1,,900,180,,badge_vocab_718,,legendary,false,true,true,Achievement,system_metric,"vocab,n5,srs",https://www.1edtech.org/standards/open-badges,
ach_n5_031,vocab_cat_food,vocabulary,silver,31,Foodie N5,Foodie N5,Kuasai 25 vocab kategori food.,Know 25 vocabulary items in category food.,trigger_vocab_cat_food,vocab_known_food,>=,25,count,global,once,1,,100,20,,badge_vocab_cat_food,,common,false,true,true,Achievement,system_metric,"vocab,category,food",https://www.1edtech.org/standards/open-badges,
ach_n5_032,vocab_cat_people,vocabulary,silver,32,People Person,People Person,Kuasai 25 vocab kategori people.,Know 25 vocabulary items in category people.,trigger_vocab_cat_people,vocab_known_people,>=,25,count,global,once,1,,100,20,,badge_vocab_cat_people,,common,false,true,true,Achievement,system_metric,"vocab,category,people",https://www.1edtech.org/standards/open-badges,
ach_n5_033,vocab_cat_time,vocabulary,silver,33,Time Keeper,Time Keeper,Kuasai 25 vocab kategori time.,Know 25 vocabulary items in category time.,trigger_vocab_cat_time,vocab_known_time,>=,25,count,global,once,1,,100,20,,badge_vocab_cat_time,,common,false,true,true,Achievement,system_metric,"vocab,category,time",https://www.1edtech.org/standards/open-badges,
ach_n5_034,vocab_cat_place,vocabulary,silver,34,Map Reader,Map Reader,Kuasai 25 vocab kategori place.,Know 25 vocabulary items in category place.,trigger_vocab_cat_place,vocab_known_place,>=,25,count,global,once,1,,100,20,,badge_vocab_cat_place,,common,false,true,true,Achievement,system_metric,"vocab,category,place",https://www.1edtech.org/standards/open-badges,
