id,jlpt_level,set_type,display_order,grammar_point,reading_kana,romaji,meaning_id,meaning_en,category_id,lesson_group,structure_pattern,usage_explanation_id,example_jp,example_romaji,example_meaning_id,practice_type,practice_prompt_id,practice_answer,related_points,confusable_with,formality,polarity,register,difficulty_order,tags,is_core_n5,recommended_for_quiz,illustration_path,audio_path,source_basis,source_url,notes
grm_n5_001,N5,core_84_common_n5,1,ちゃいけない・じゃいけない,ちゃいけない・じゃいけない,cha ikenai / ja ikenai,tidak boleh melakukan,must not do,prohibition,requests_rules,Vて → Vちゃいけない / Vで → Vじゃいけない,"Bentuk santai untuk larangan. Cocok di percakapan, tapi untuk web pemula tetap beri label kasual.",ここで写真を撮っちゃいけません。,Koko de shashin o totcha ikemasen.,Tidak boleh mengambil foto di sini.,fill_blank,ここで写真を____いけません。,撮っちゃ,てはいけない,ないでください,casual,negative,spoken,1,"te-form,prohibition",true,true,/assets/grammar/n5/001/illustration.svg,/assets/audio/grammar/n5/001/example.mp3,JLPTsensei common 84 grammar study-list,https://jlptsensei.com/jlpt-n5-grammar-list/,"Study-list item, not an official JLPT-published grammar specification."
grm_n5_002,N5,core_84_common_n5,2,だ / です,だ / です,da / desu,adalah; menjadi kopula,to be; copula,copula,basic_sentence,N + だ / です,Dipakai untuk menyatakan identitas atau keadaan. です lebih sopan daripada だ.,私は学生です。,Watashi wa gakusei desu.,Saya adalah pelajar.,fill_blank,私は学生____。,です,じゃない・ではない,,polite/plain,affirmative,neutral,2,"copula,basic",true,true,/assets/grammar/n5/002/illustration.svg,/assets/audio/grammar/n5/002/example.mp3,JLPTsensei common 84 grammar study-list,https://jlptsensei.com/jlpt-n5-grammar-list/,"Study-list item, not an official JLPT-published grammar specification."
grm_n5_003,N5,core_84_common_n5,3,だけ,だけ,dake,hanya; cuma,only; just,limitation,basic_expression,N / amount / clause + だけ,Membatasi makna menjadi satu hal atau jumlah tertentu.,水だけ飲みます。,Mizu dake nomimasu.,Saya hanya minum air.,multiple_choice,「hanya air」 = 水____,だけ,しか,,neutral,affirmative,neutral,3,limitation,true,true,/assets/grammar/n5/003/illustration.svg,/assets/audio/grammar/n5/003/example.mp3,JLPTsensei common 84 grammar study-list,https://jlptsensei.com/jlpt-n5-grammar-list/,"Study-list item, not an official JLPT-published grammar specification."
grm_n5_004,N5,core_84_common_n5,4,だろう,だろう,darou,mungkin; barangkali,probably; I think,modality,sentence_ending,Plain form + だろう,Menyatakan dugaan. Lebih kasual daripada でしょう.,明日は雨だろう。,Ashita wa ame darou.,Besok mungkin hujan.,fill_blank,明日は雨____。,だろう,でしょう,,plain,affirmative,spoken,4,"guess,modality",true,true,/assets/grammar/n5/004/illustration.svg,/assets/audio/grammar/n5/004/example.mp3,JLPTsensei common 84 grammar study-list,https://jlptsensei.com/jlpt-n5-grammar-list/,"Study-list item, not an official JLPT-published grammar specification."
grm_n5_005,N5,core_84_common_n5,5,で,で,de,di; dengan; memakai,at/in; by/with,particle,particles,Place/tool/means + で,Menandai tempat aksi atau alat/cara melakukan sesuatu.,図書館で勉強します。,Toshokan de benkyou shimasu.,Saya belajar di perpustakaan.,fill_blank,図書館____勉強します。,で,に,,neutral,affirmative,neutral,5,"particle,location,means",true,true,/assets/grammar/n5/005/illustration.svg,/assets/audio/grammar/n5/005/example.mp3,JLPTsensei common 84 grammar study-list,https://jlptsensei.com/jlpt-n5-grammar-list/,"Study-list item, not an official JLPT-published grammar specification."
grm_n5_006,N5,core_84_common_n5,6,でも,でも,demo,tetapi; namun,but; however,connector,connectors,Sentence. でも sentence.,Konjungsi untuk menyambung ide yang berlawanan.,雨です。でも行きます。,Ame desu. Demo ikimasu.,Hujan. Tapi saya pergi.,multiple_choice,Pilih arti でも,tetapi,しかし,けれども,neutral,affirmative,neutral,6,"connector,contrast",true,true,/assets/grammar/n5/006/illustration.svg,/assets/audio/grammar/n5/006/example.mp3,JLPTsensei common 84 grammar study-list,https://jlptsensei.com/jlpt-n5-grammar-list/,"Study-list item, not an official JLPT-published grammar specification."
grm_n5_007,N5,core_84_common_n5,7,でしょう,でしょう,deshou,mungkin; kan?,probably; right?,modality,sentence_ending,Plain form + でしょう,Menyatakan dugaan atau meminta persetujuan dengan nuansa sopan.,明日は暑いでしょう。,Ashita wa atsui deshou.,Besok mungkin panas.,fill_blank,明日は暑い____。,でしょう,だろう,,polite,affirmative,neutral,7,"guess,modality",true,true,/assets/grammar/n5/007/illustration.svg,/assets/audio/grammar/n5/007/example.mp3,JLPTsensei common 84 grammar study-list,https://jlptsensei.com/jlpt-n5-grammar-list/,"Study-list item, not an official JLPT-published grammar specification."
grm_n5_008,N5,core_84_common_n5,8,どんな,どんな,donna,seperti apa; jenis apa,what kind of,question_word,questions,どんな + N,Menanyakan jenis atau sifat suatu benda/orang.,どんな本が好きですか。,Donna hon ga suki desu ka.,Kamu suka buku seperti apa?,fill_blank,____本が好きですか。,どんな,どの,,neutral,question,neutral,8,question,true,true,/assets/grammar/n5/008/illustration.svg,/assets/audio/grammar/n5/008/example.mp3,JLPTsensei common 84 grammar study-list,https://jlptsensei.com/jlpt-n5-grammar-list/,"Study-list item, not an official JLPT-published grammar specification."
grm_n5_009,N5,core_84_common_n5,9,どうして,どうして,doushite,kenapa; mengapa,why; how come,question_word,questions,どうして + sentence,Menanyakan alasan.,どうして来ませんか。,Doushite kimasen ka.,Kenapa tidak datang?,fill_blank,____来ませんか。,どうして,なぜ,,neutral,question,neutral,9,"question,reason",true,true,/assets/grammar/n5/009/illustration.svg,/assets/audio/grammar/n5/009/example.mp3,JLPTsensei common 84 grammar study-list,https://jlptsensei.com/jlpt-n5-grammar-list/,"Study-list item, not an official JLPT-published grammar specification."
grm_n5_010,N5,core_84_common_n5,10,どうやって,どうやって,douyatte,bagaimana caranya,how; by what means,question_word,questions,どうやって + verb,Menanyakan cara atau metode.,どうやって駅へ行きますか。,Douyatte eki e ikimasu ka.,Bagaimana cara pergi ke stasiun?,fill_blank,____駅へ行きますか。,どうやって,どうして,,neutral,question,neutral,10,"question,method",true,true,/assets/grammar/n5/010/illustration.svg,/assets/audio/grammar/n5/010/example.mp3,JLPTsensei common 84 grammar study-list,https://jlptsensei.com/jlpt-n5-grammar-list/,"Study-list item, not an official JLPT-published grammar specification."
grm_n5_011,N5,core_84_common_n5,11,が,が,ga,penanda subjek; tetapi,subject marker; but,particle,particles,N + が / clause + が,"Menandai subjek, fokus informasi baru, atau menyambung klausa dengan arti 'tetapi'.",猫がいます。,Neko ga imasu.,Ada kucing.,fill_blank,猫____います。,が,は,,neutral,affirmative,neutral,11,"particle,subject",true,true,/assets/grammar/n5/011/illustration.svg,/assets/audio/grammar/n5/011/example.mp3,JLPTsensei common 84 grammar study-list,https://jlptsensei.com/jlpt-n5-grammar-list/,"Study-list item, not an official JLPT-published grammar specification."
grm_n5_012,N5,core_84_common_n5,12,があります,があります,ga arimasu,ada untuk benda mati,there is; non-living existence,existence,existence,Place + に + N + があります,Dipakai untuk keberadaan benda mati atau hal abstrak.,机の上に本があります。,Tsukue no ue ni hon ga arimasu.,Ada buku di atas meja.,fill_blank,本____あります。,が,がいます,,polite,affirmative,neutral,12,existence,true,true,/assets/grammar/n5/012/illustration.svg,/assets/audio/grammar/n5/012/example.mp3,JLPTsensei common 84 grammar study-list,https://jlptsensei.com/jlpt-n5-grammar-list/,"Study-list item, not an official JLPT-published grammar specification."
grm_n5_013,N5,core_84_common_n5,13,がほしい,がほしい,ga hoshii,ingin sesuatu,want something,desire,desire,N + が + ほしい,Menyatakan keinginan memiliki sesuatu.,新しいかばんがほしいです。,Atarashii kaban ga hoshii desu.,Saya ingin tas baru.,fill_blank,新しいかばん____ほしいです。,が,たい,,polite,affirmative,neutral,13,desire,true,true,/assets/grammar/n5/013/illustration.svg,/assets/audio/grammar/n5/013/example.mp3,JLPTsensei common 84 grammar study-list,https://jlptsensei.com/jlpt-n5-grammar-list/,"Study-list item, not an official JLPT-published grammar specification."
grm_n5_014,N5,core_84_common_n5,14,がいます,がいます,ga imasu,ada untuk makhluk hidup,there is; living existence,existence,existence,Place + に + N + がいます,Dipakai untuk keberadaan orang atau hewan.,教室に先生がいます。,Kyoushitsu ni sensei ga imasu.,Ada guru di kelas.,fill_blank,先生____います。,が,があります,,polite,affirmative,neutral,14,existence,true,true,/assets/grammar/n5/014/illustration.svg,/assets/audio/grammar/n5/014/example.mp3,JLPTsensei common 84 grammar study-list,https://jlptsensei.com/jlpt-n5-grammar-list/,"Study-list item, not an official JLPT-published grammar specification."
grm_n5_015,N5,core_84_common_n5,15,ほうがいい,ほうがいい,hou ga ii,lebih baik; sebaiknya,had better; should,advice,advice,Vた / Vない + ほうがいい,"Memberi saran. Vたほうがいい untuk sebaiknya melakukan, Vないほうがいい untuk sebaiknya tidak.",早く寝たほうがいいです。,Hayaku neta hou ga ii desu.,Sebaiknya tidur lebih awal.,fill_blank,早く寝た____がいいです。,ほう,たほうがいい,ないほうがいい,polite/plain,affirmative/negative,neutral,15,advice,true,true,/assets/grammar/n5/015/illustration.svg,/assets/audio/grammar/n5/015/example.mp3,JLPTsensei common 84 grammar study-list,https://jlptsensei.com/jlpt-n5-grammar-list/,"Study-list item, not an official JLPT-published grammar specification."
grm_n5_016,N5,core_84_common_n5,16,い-adjectives,い-adjectives,i-adjectives,kata sifat-i,i-adjectives,adjective,adjectives,い-adj + N / い-adj + です,Kata sifat yang biasanya berakhir dengan い dan langsung menerangkan noun.,高い本です。,Takai hon desu.,Ini buku mahal.,identify,高い termasuk jenis apa?,い-adjective,な-adjectives,,neutral,affirmative,neutral,16,adjective,true,true,/assets/grammar/n5/016/illustration.svg,/assets/audio/grammar/n5/016/example.mp3,JLPTsensei common 84 grammar study-list,https://jlptsensei.com/jlpt-n5-grammar-list/,"Study-list item, not an official JLPT-published grammar specification."
grm_n5_017,N5,core_84_common_n5,17,一番,いちばん,ichiban,paling; nomor satu,the most; best,superlative,comparisons,N / group + で + 一番 + adjective,Menyatakan yang paling dalam suatu kelompok.,日本語が一番好きです。,Nihongo ga ichiban suki desu.,Saya paling suka bahasa Jepang.,fill_blank,日本語が____好きです。,一番,より,,polite,affirmative,neutral,17,"comparison,superlative",true,true,/assets/grammar/n5/017/illustration.svg,/assets/audio/grammar/n5/017/example.mp3,JLPTsensei common 84 grammar study-list,https://jlptsensei.com/jlpt-n5-grammar-list/,"Study-list item, not an official JLPT-published grammar specification."
