id,achievement_key,trigger_rule_key,event_names,metric_key,metric_source_table,aggregation_window,scope_key,condition_json,evaluation_timing,idempotency_key_strategy,award_policy,revoke_policy,cooldown_seconds,recommended_for_mvp,notes
ach_trigger_001,first_step,trigger_first_step,lesson_completed|quiz_submitted|srs_reviewed|daily_activity_logged|mock_submitted|metric_recalculated,lessons_completed,user_event_log,lifetime,global,"{""metric_key"": ""lessons_completed"", ""comparator"": "">="", ""threshold_value"": 1, ""threshold_unit"": ""count"", ""scope_key"": ""global"", ""prerequisites"": []}",on_event_and_daily_recalc,user_id + achievement_key,award_once,never_revoke_earned_badge,0,true,Run after relevant user event. Use idempotency to avoid duplicate awards.
ach_trigger_002,placement_done,trigger_placement_done,lesson_completed|quiz_submitted|srs_reviewed|daily_activity_logged|mock_submitted|metric_recalculated,placement_tests_completed,user_event_log,lifetime,global,"{""metric_key"": ""placement_tests_completed"", ""comparator"": "">="", ""threshold_value"": 1, ""threshold_unit"": ""count"", ""scope_key"": ""global"", ""prerequisites"": []}",on_event_and_daily_recalc,user_id + achievement_key,award_once,never_revoke_earned_badge,0,true,Run after relevant user event. Use idempotency to avoid duplicate awards.
ach_trigger_003,roadmap_10,trigger_roadmap_10,lesson_completed|quiz_submitted|srs_reviewed|daily_activity_logged|mock_submitted|metric_recalculated,roadmap_completion_percent,user_lesson_progress,lifetime,global,"{""metric_key"": ""roadmap_completion_percent"", ""comparator"": "">="", ""threshold_value"": 10, ""threshold_unit"": ""percent"", ""scope_key"": ""global"", ""prerequisites"": []}",on_event_and_daily_recalc,user_id + achievement_key,award_once,never_revoke_earned_badge,0,true,Run after relevant user event. Use idempotency to avoid duplicate awards.
ach_trigger_004,roadmap_25,trigger_roadmap_25,lesson_completed|quiz_submitted|srs_reviewed|daily_activity_logged|mock_submitted|metric_recalculated,roadmap_completion_percent,user_lesson_progress,lifetime,global,"{""metric_key"": ""roadmap_completion_percent"", ""comparator"": "">="", ""threshold_value"": 25, ""threshold_unit"": ""percent"", ""scope_key"": ""global"", ""prerequisites"": []}",on_event_and_daily_recalc,user_id + achievement_key,award_once,never_revoke_earned_badge,0,true,Run after relevant user event. Use idempotency to avoid duplicate awards.
ach_trigger_005,roadmap_50,trigger_roadmap_50,lesson_completed|quiz_submitted|srs_reviewed|daily_activity_logged|mock_submitted|metric_recalculated,roadmap_completion_percent,user_lesson_progress,lifetime,global,"{""metric_key"": ""roadmap_completion_percent"", ""comparator"": "">="", ""threshold_value"": 50, ""threshold_unit"": ""percent"", ""scope_key"": ""global"", ""prerequisites"": []}",on_event_and_daily_recalc,user_id + achievement_key,award_once,never_revoke_earned_badge,0,true,Run after relevant user event. Use idempotency to avoid duplicate awards.
ach_trigger_006,roadmap_75,trigger_roadmap_75,lesson_completed|quiz_submitted|srs_reviewed|daily_activity_logged|mock_submitted|metric_recalculated,roadmap_completion_percent,user_lesson_progress,lifetime,global,"{""metric_key"": ""roadmap_completion_percent"", ""comparator"": "">="", ""threshold_value"": 75, ""threshold_unit"": ""percent"", ""scope_key"": ""global"", ""prerequisites"": []}",on_event_and_daily_recalc,user_id + achievement_key,award_once,never_revoke_earned_badge,0,true,Run after relevant user event. Use idempotency to avoid duplicate awards.
ach_trigger_007,roadmap_100,trigger_roadmap_100,lesson_completed|quiz_submitted|srs_reviewed|daily_activity_logged|mock_submitted|metric_recalculated,roadmap_completion_percent,user_lesson_progress,lifetime,global,"{""metric_key"": ""roadmap_completion_percent"", ""comparator"": "">="", ""threshold_value"": 100, ""threshold_unit"": ""percent"", ""scope_key"": ""global"", ""prerequisites"": []}",on_event_and_daily_recalc,user_id + achievement_key,award_once,never_revoke_earned_badge,0,true,Run after relevant user event. Use idempotency to avoid duplicate awards.
ach_trigger_008,streak_3,trigger_streak_3,lesson_completed|quiz_submitted|srs_reviewed|daily_activity_logged|mock_submitted|metric_recalculated,current_streak_days,user_daily_activity,current,global,"{""metric_key"": ""current_streak_days"", ""comparator"": "">="", ""threshold_value"": 3, ""threshold_unit"": ""days"", ""scope_key"": ""global"", ""prerequisites"": []}",on_event_and_daily_recalc,user_id + achievement_key,award_once,never_revoke_earned_badge,0,true,Run after relevant user event. Use idempotency to avoid duplicate awards.
ach_trigger_009,streak_7,trigger_streak_7,lesson_completed|quiz_submitted|srs_reviewed|daily_activity_logged|mock_submitted|metric_recalculated,current_streak_days,user_daily_activity,current,global,"{""metric_key"": ""current_streak_days"", ""comparator"": "">="", ""threshold_value"": 7, ""threshold_unit"": ""days"", ""scope_key"": ""global"", ""prerequisites"": []}",on_event_and_daily_recalc,user_id + achievement_key,award_once,never_revoke_earned_badge,0,true,Run after relevant user event. Use idempotency to avoid duplicate awards.
ach_trigger_010,streak_14,trigger_streak_14,lesson_completed|quiz_submitted|srs_reviewed|daily_activity_logged|mock_submitted|metric_recalculated,current_streak_days,user_daily_activity,current,global,"{""metric_key"": ""current_streak_days"", ""comparator"": "">="", ""threshold_value"": 14, ""threshold_unit"": ""days"", ""scope_key"": ""global"", ""prerequisites"": []}",on_event_and_daily_recalc,user_id + achievement_key,award_once,never_revoke_earned_badge,0,true,Run after relevant user event. Use idempotency to avoid duplicate awards.
ach_trigger_011,streak_30,trigger_streak_30,lesson_completed|quiz_submitted|srs_reviewed|daily_activity_logged|mock_submitted|metric_recalculated,current_streak_days,user_daily_activity,current,global,"{""metric_key"": ""current_streak_days"", ""comparator"": "">="", ""threshold_value"": 30, ""threshold_unit"": ""days"", ""scope_key"": ""global"", ""prerequisites"": []}",on_event_and_daily_recalc,user_id + achievement_key,award_once,never_revoke_earned_badge,0,true,Run after relevant user event. Use idempotency to avoid duplicate awards.
ach_trigger_012,streak_60,trigger_streak_60,lesson_completed|quiz_submitted|srs_reviewed|daily_activity_logged|mock_submitted|metric_recalculated,current_streak_days,user_daily_activity,current,global,"{""metric_key"": ""current_streak_days"", ""comparator"": "">="", ""threshold_value"": 60, ""threshold_unit"": ""days"", ""scope_key"": ""global"", ""prerequisites"": []}",on_event_and_daily_recalc,user_id + achievement_key,award_once,never_revoke_earned_badge,0,true,Run after relevant user event. Use idempotency to avoid duplicate awards.
ach_trigger_013,streak_100,trigger_streak_100,lesson_completed|quiz_submitted|srs_reviewed|daily_activity_logged|mock_submitted|metric_recalculated,current_streak_days,user_daily_activity,current,global,"{""metric_key"": ""current_streak_days"", ""comparator"": "">="", ""threshold_value"": 100, ""threshold_unit"": ""days"", ""scope_key"": ""global"", ""prerequisites"": []}",on_event_and_daily_recalc,user_id + achievement_key,award_once,never_revoke_earned_badge,0,true,Run after relevant user event. Use idempotency to avoid duplicate awards.
ach_trigger_014,streak_365,trigger_streak_365,lesson_completed|quiz_submitted|srs_reviewed|daily_activity_logged|mock_submitted|metric_recalculated,current_streak_days,user_daily_activity,current,global,"{""metric_key"": ""current_streak_days"", ""comparator"": "">="", ""threshold_value"": 365, ""threshold_unit"": ""days"", ""scope_key"": ""global"", ""prerequisites"": []}",on_event_and_daily_recalc,user_id + achievement_key,award_once,never_revoke_earned_badge,0,true,Run after relevant user event. Use idempotency to avoid duplicate awards.
ach_trigger_015,daily_challenge_1,trigger_daily_challenge_1,lesson_completed|quiz_submitted|srs_reviewed|daily_activity_logged|mock_submitted|metric_recalculated,daily_challenges_completed,user_daily_challenges,lifetime,global,"{""metric_key"": ""daily_challenges_completed"", ""comparator"": "">="", ""threshold_value"": 1, ""threshold_unit"": ""count"", ""scope_key"": ""global"", ""prerequisites"": []}",on_event_and_daily_recalc,user_id + achievement_key,award_once,never_revoke_earned_badge,0,true,Run after relevant user event. Use idempotency to avoid duplicate awards.
ach_trigger_016,daily_challenge_7,trigger_daily_challenge_7,lesson_completed|quiz_submitted|srs_reviewed|daily_activity_logged|mock_submitted|metric_recalculated,daily_challenges_completed,user_daily_challenges,lifetime,global,"{""metric_key"": ""daily_challenges_completed"", ""comparator"": "">="", ""threshold_value"": 7, ""threshold_unit"": ""count"", ""scope_key"": ""global"", ""prerequisites"": []}",on_event_and_daily_recalc,user_id + achievement_key,award_once,never_revoke_earned_badge,0,true,Run after relevant user event. Use idempotency to avoid duplicate awards.
ach_trigger_017,daily_challenge_30,trigger_daily_challenge_30,lesson_completed|quiz_submitted|srs_reviewed|daily_activity_logged|mock_submitted|metric_recalculated,daily_challenges_completed,user_daily_challenges,lifetime,global,"{""metric_key"": ""daily_challenges_completed"", ""comparator"": "">="", ""threshold_value"": 30, ""threshold_unit"": ""count"", ""scope_key"": ""global"", ""prerequisites"": []}",on_event_and_daily_recalc,user_id + achievement_key,award_once,never_revoke_earned_badge,0,true,Run after relevant user event. Use idempotency to avoid duplicate awards.
ach_trigger_018,daily_challenge_100,trigger_daily_challenge_100,lesson_completed|quiz_submitted|srs_reviewed|daily_activity_logged|mock_submitted|metric_recalculated,daily_challenges_completed,user_daily_challenges,lifetime,global,"{""metric_key"": ""daily_challenges_completed"", ""comparator"": "">="", ""threshold_value"": 100, ""threshold_unit"": ""count"", ""scope_key"": ""global"", ""prerequisites"": []}",on_event_and_daily_recalc,user_id + achievement_key,award_once,never_revoke_earned_badge,0,true,Run after relevant user event. Use idempotency to avoid duplicate awards.
ach_trigger_019,hiragana_basic,trigger_hiragana_basic,lesson_completed|quiz_submitted|srs_reviewed|daily_activity_logged|mock_submitted|metric_recalculated,hiragana_basic_completed,user_event_log,lifetime,global,"{""metric_key"": ""hiragana_basic_completed"", ""comparator"": "">="", ""threshold_value"": 46, ""threshold_unit"": ""characters"", ""scope_key"": ""global"", ""prerequisites"": []}",on_event_and_daily_recalc,user_id + achievement_key,award_once,never_revoke_earned_badge,0,true,Run after relevant user event. Use idempotency to avoid duplicate awards.
ach_trigger_020,katakana_basic,trigger_katakana_basic,lesson_completed|quiz_submitted|srs_reviewed|daily_activity_logged|mock_submitted|metric_recalculated,katakana_basic_completed,user_event_log,lifetime,global,"{""metric_key"": ""katakana_basic_completed"", ""comparator"": "">="", ""threshold_value"": 46, ""threshold_unit"": ""characters"", ""scope_key"": ""global"", ""prerequisites"": []}",on_event_and_daily_recalc,user_id + achievement_key,award_once,never_revoke_earned_badge,0,true,Run after relevant user event. Use idempotency to avoid duplicate awards.
ach_trigger_021,dakuten_done,trigger_dakuten_done,lesson_completed|quiz_submitted|srs_reviewed|daily_activity_logged|mock_submitted|metric_recalculated,dakuten_handakuten_completed,user_event_log,lifetime,global,"{""metric_key"": ""dakuten_handakuten_completed"", ""comparator"": "">="", ""threshold_value"": 1, ""threshold_unit"": ""set"", ""scope_key"": ""global"", ""prerequisites"": []}",on_event_and_daily_recalc,user_id + achievement_key,award_once,never_revoke_earned_badge,0,true,Run after relevant user event. Use idempotency to avoid duplicate awards.
ach_trigger_022,yoon_done,trigger_yoon_done,lesson_completed|quiz_submitted|srs_reviewed|daily_activity_logged|mock_submitted|metric_recalculated,yoon_completed,user_event_log,lifetime,global,"{""metric_key"": ""yoon_completed"", ""comparator"": "">="", ""threshold_value"": 1, ""threshold_unit"": ""set"", ""scope_key"": ""global"", ""prerequisites"": []}",on_event_and_daily_recalc,user_id + achievement_key,award_once,never_revoke_earned_badge,0,true,Run after relevant user event. Use idempotency to avoid duplicate awards.
ach_trigger_023,kana_typist_90,trigger_kana_typist_90,lesson_completed|quiz_submitted|srs_reviewed|daily_activity_logged|mock_submitted|metric_recalculated,kana_typing_accuracy,user_event_log,lifetime,global,"{""metric_key"": ""kana_typing_accuracy"", ""comparator"": "">="", ""threshold_value"": 90, ""threshold_unit"": ""percent"", ""scope_key"": ""global"", ""prerequisites"": []}",on_event_and_daily_recalc,user_id + achievement_key,award_once,never_revoke_earned_badge,0,true,Run after relevant user event. Use idempotency to avoid duplicate awards.
ach_trigger_024,kana_master,trigger_kana_master,lesson_completed|quiz_submitted|srs_reviewed|daily_activity_logged|mock_submitted|metric_recalculated,kana_mastery_gate_score,user_event_log,lifetime,global,"{""metric_key"": ""kana_mastery_gate_score"", ""comparator"": "">="", ""threshold_value"": 80, ""threshold_unit"": ""percent"", ""scope_key"": ""global"", ""prerequisites"": []}",on_event_and_daily_recalc,user_id + achievement_key,award_once,never_revoke_earned_badge,0,true,Run after relevant user event. Use idempotency to avoid duplicate awards.
ach_trigger_025,vocab_25,trigger_vocab_25,lesson_completed|quiz_submitted|srs_reviewed|daily_activity_logged|mock_submitted|metric_recalculated,vocab_known_count,user_lesson_progress|user_srs_cards,lifetime,global,"{""metric_key"": ""vocab_known_count"", ""comparator"": "">="", ""threshold_value"": 25, ""threshold_unit"": ""count"", ""scope_key"": ""global"", ""prerequisites"": []}",on_event_and_daily_recalc,user_id + achievement_key,award_once,never_revoke_earned_badge,0,true,Run after relevant user event. Use idempotency to avoid duplicate awards.
