id,jlpt_level,template_id,template_key,skill_domain,question_type,difficulty_order,prompt_id,prompt_jp,stimulus_jp,stimulus_romaji,stimulus_id,audio_path,image_path,choices_json,correct_answer_json,acceptable_answers_json,explanation_id,source_entity_type,source_entity_id,tags,time_limit_seconds,points,review_status,notes
quiz_n5_sample_0001,N5,qt_n5_001,kana_romaji_choice,kana,multiple_choice_single,1,Apa romaji dari kana ini?,Apa romaji dari kana ini?,あ,a,あ,,,"[{""id"": ""c1"", ""text"": ""a"", ""is_correct"": true}, {""id"": ""c2"", ""text"": ""i"", ""is_correct"": false}, {""id"": ""c3"", ""text"": ""u"", ""is_correct"": false}, {""id"": ""c4"", ""text"": ""e"", ""is_correct"": false}]","{""correct_choice_id"": ""c1"", ""correct_value"": ""a""}","[""a""]",「あ」 dibaca a.,kana_character,,"kana,romaji",10,1,sample_seed_reviewed,
quiz_n5_sample_0002,N5,qt_n5_002,kana_from_romaji_choice,kana,multiple_choice_single,1,Mana kana untuk romaji ini?,Mana kana untuk romaji ini?,ka,,ka,,,"[{""id"": ""c1"", ""text"": ""か"", ""is_correct"": true}, {""id"": ""c2"", ""text"": ""き"", ""is_correct"": false}, {""id"": ""c3"", ""text"": ""く"", ""is_correct"": false}, {""id"": ""c4"", ""text"": ""け"", ""is_correct"": false}]","{""correct_choice_id"": ""c1"", ""correct_value"": ""か""}","[""か""]",ka = か.,kana_character,,"kana,choice",10,1,sample_seed_reviewed,
quiz_n5_sample_0003,N5,qt_n5_003,kana_typing,kana,text_entry,1,Ketik romaji dari kana ini.,Ketik romaji dari kana ini.,し,shi,し,,,[],"{""text"": ""shi""}","[""shi""]",「し」 dibaca shi.,kana_character,,"kana,typing",12,1,sample_seed_reviewed,
quiz_n5_sample_0004,N5,qt_n5_004,kana_pair_hira_kata,kana,matching,2,Pasangkan hiragana dan katakana.,Pasangkan hiragana dan katakana.,あ|い|う|え,a i u e,あ い う え / ア イ ウ エ,,,[],"{""pairs"": [[""あ"", ""ア""], [""い"", ""イ""], [""う"", ""ウ""], [""え"", ""エ""]]}","[""""]",Pasangan kana punya bunyi sama.,kana_pair,,"kana,matching",45,4,sample_seed_reviewed,
quiz_n5_sample_0005,N5,qt_n5_006,vocab_meaning_choice,vocabulary,multiple_choice_single,1,Apa arti kata ini?,Apa arti kata ini?,犬,inu,犬,,,"[{""id"": ""c1"", ""text"": ""Anjing"", ""is_correct"": true}, {""id"": ""c2"", ""text"": ""Kucing"", ""is_correct"": false}, {""id"": ""c3"", ""text"": ""Burung"", ""is_correct"": false}, {""id"": ""c4"", ""text"": ""Ikan"", ""is_correct"": false}]","{""correct_choice_id"": ""c1"", ""correct_value"": ""Anjing""}","[""Anjing""]",犬 berarti anjing.,vocabulary,,"vocab,meaning",15,1,sample_seed_reviewed,
quiz_n5_sample_0006,N5,qt_n5_007,vocab_reading_choice,vocabulary,multiple_choice_single,2,Bacaan yang benar adalah...,Bacaan yang benar adalah...,食べる,taberu,食べる,,,"[{""id"": ""c1"", ""text"": ""たべる"", ""is_correct"": true}, {""id"": ""c2"", ""text"": ""のむ"", ""is_correct"": false}, {""id"": ""c3"", ""text"": ""みる"", ""is_correct"": false}, {""id"": ""c4"", ""text"": ""いく"", ""is_correct"": false}]","{""correct_choice_id"": ""c1"", ""correct_value"": ""たべる""}","[""たべる""]",食べる dibaca たべる.,vocabulary,,"vocab,reading",15,1,sample_seed_reviewed,
quiz_n5_sample_0007,N5,qt_n5_008,vocab_from_meaning_choice,vocabulary,multiple_choice_single,1,Mana kata Jepang untuk “air”?,Mana kata Jepang untuk “air”?,air,,air,,,"[{""id"": ""c1"", ""text"": ""水"", ""is_correct"": true}, {""id"": ""c2"", ""text"": ""火"", ""is_correct"": false}, {""id"": ""c3"", ""text"": ""木"", ""is_correct"": false}, {""id"": ""c4"", ""text"": ""金"", ""is_correct"": false}]","{""correct_choice_id"": ""c1"", ""correct_value"": ""水""}","[""水""]",Air = 水.,vocabulary,,"vocab,reverse",15,1,sample_seed_reviewed,
quiz_n5_sample_0008,N5,qt_n5_009,vocab_typing_reading,vocabulary,text_entry,3,Ketik bacaan hiragana dari kata ini.,Ketik bacaan hiragana dari kata ini.,学校,gakkou,学校,,,[],"{""text"": ""がっこう""}","[""がっこう""]",学校 dibaca がっこう.,vocabulary,,"vocab,typing",20,2,sample_seed_reviewed,
quiz_n5_sample_0009,N5,qt_n5_012,particle_gap_choice,grammar,gap_fill_choice,1,Pilih partikel yang tepat.,Pilih partikel yang tepat.,私___学生です。,Watashi ___ gakusei desu.,私___学生です。,,,"[{""id"": ""c1"", ""text"": ""は"", ""is_correct"": true}, {""id"": ""c2"", ""text"": ""を"", ""is_correct"": false}, {""id"": ""c3"", ""text"": ""で"", ""is_correct"": false}, {""id"": ""c4"", ""text"": ""へ"", ""is_correct"": false}]","{""correct_choice_id"": ""c1"", ""correct_value"": ""は""}","[""は""]","は menandai topik. Ditulis は, dibaca wa.",particle_usage,,"particle,gap",20,1,sample_seed_reviewed,
quiz_n5_sample_0010,N5,qt_n5_012,particle_gap_choice,grammar,gap_fill_choice,2,Pilih partikel yang tepat.,Pilih partikel yang tepat.,水___飲みます。,Mizu ___ nomimasu.,水___飲みます。,,,"[{""id"": ""c1"", ""text"": ""を"", ""is_correct"": true}, {""id"": ""c2"", ""text"": ""に"", ""is_correct"": false}, {""id"": ""c3"", ""text"": ""が"", ""is_correct"": false}, {""id"": ""c4"", ""text"": ""へ"", ""is_correct"": false}]","{""correct_choice_id"": ""c1"", ""correct_value"": ""を""}","[""を""]",を menandai objek langsung.,particle_usage,,"particle,gap",20,1,sample_seed_reviewed,
