id,lesson_id,lesson_title_id,map_type,dataset_ref,source_entity_type,filter_json,target_count,required_count,sort_strategy,selection_strategy,quiz_template_keys,srs_card_type,display_mode,review_status,notes
lesson_map_n5_0001,les_0001,Placement Mini Check,primary_content,jlpt_n5_quiz_sections_seed.csv,mixed,{},10,8,display_order,sequential,daily_mixed_quick_quiz,,lesson_page,curated_seed,
lesson_map_n5_0002,les_0001,Placement Mini Check,quiz_section,jlpt_n5_quiz_sections_seed.csv,quiz_section,"{""section_id"": ""qsec_n5_001""}",1,1,display_order,sequential,daily_mixed_quick_quiz,,quiz,curated_seed,
lesson_map_n5_0003,les_0002,Japanese Input Basics,primary_content,japanese_symbols_punctuation_seed.csv,kana,"{""is_common"": ""true""}",10,8,display_order,sequential,kana_typing,kana_card,lesson_page,curated_seed,
lesson_map_n5_0004,les_0003,How SRS Works,primary_content,jlpt_n5_quiz_templates_seed.csv,srs,"{""template_key"": ""srs_flashcard_front_back""}",10,8,display_order,sequential,srs_flashcard_front_back,,lesson_page,curated_seed,
lesson_map_n5_0005,les_0004,First Daily Challenge,primary_content,jlpt_n5_quiz_sections_seed.csv,mixed,"{""section_key"": ""daily_quick_mix""}",10,8,display_order,sequential,daily_mixed_quick_quiz,,lesson_page,curated_seed,
lesson_map_n5_0006,les_0004,First Daily Challenge,quiz_section,jlpt_n5_quiz_sections_seed.csv,quiz_section,"{""section_id"": ""qsec_n5_001""}",1,1,display_order,sequential,daily_mixed_quick_quiz,,quiz,curated_seed,
lesson_map_n5_0007,les_0101,Hiragana A-row,primary_content,kana_characters_hiragana_katakana.csv,kana,"{""script"": ""hiragana"", ""row_group"": ""vowel""}",10,8,display_order,sequential,kana_romaji_choice|kana_typing,kana_card,lesson_page,curated_seed,
lesson_map_n5_0008,les_0101,Hiragana A-row,quiz_section,jlpt_n5_quiz_sections_seed.csv,quiz_section,"{""section_id"": ""qsec_n5_002""}",1,1,display_order,sequential,kana_romaji_choice|kana_typing,,quiz,curated_seed,
lesson_map_n5_0009,les_0102,Hiragana K/S/T rows,primary_content,kana_characters_hiragana_katakana.csv,kana,"{""script"": ""hiragana"", ""row_group"": [""k"", ""s"", ""t""]}",10,8,display_order,sequential,kana_romaji_choice|kana_typing,kana_card,lesson_page,curated_seed,
lesson_map_n5_0010,les_0102,Hiragana K/S/T rows,quiz_section,jlpt_n5_quiz_sections_seed.csv,quiz_section,"{""section_id"": ""qsec_n5_002""}",1,1,display_order,sequential,kana_romaji_choice|kana_typing,,quiz,curated_seed,
lesson_map_n5_0011,les_0103,Hiragana N/H/M rows,primary_content,kana_characters_hiragana_katakana.csv,kana,"{""script"": ""hiragana"", ""row_group"": [""n"", ""h"", ""m""]}",10,8,display_order,sequential,kana_romaji_choice|kana_typing,kana_card,lesson_page,curated_seed,
lesson_map_n5_0012,les_0103,Hiragana N/H/M rows,quiz_section,jlpt_n5_quiz_sections_seed.csv,quiz_section,"{""section_id"": ""qsec_n5_002""}",1,1,display_order,sequential,kana_romaji_choice|kana_typing,,quiz,curated_seed,
lesson_map_n5_0013,les_0104,Hiragana Y/R/W + ん,primary_content,kana_characters_hiragana_katakana.csv,kana,"{""script"": ""hiragana"", ""row_group"": [""y"", ""r"", ""w"", ""n""]}",10,8,display_order,sequential,kana_romaji_choice|kana_typing,kana_card,lesson_page,curated_seed,
lesson_map_n5_0014,les_0104,Hiragana Y/R/W + ん,quiz_section,jlpt_n5_quiz_sections_seed.csv,quiz_section,"{""section_id"": ""qsec_n5_002""}",1,1,display_order,sequential,kana_romaji_choice|kana_typing,,quiz,curated_seed,
lesson_map_n5_0015,les_0105,Hiragana Review Gate,primary_content,kana_characters_hiragana_katakana.csv,kana,"{""script"": ""hiragana"", ""category"": ""basic""}",15,12,display_order,sequential,kana_romaji_choice|kana_from_romaji_choice|kana_typing,kana_card,lesson_page,curated_seed,
lesson_map_n5_0016,les_0105,Hiragana Review Gate,quiz_section,jlpt_n5_quiz_sections_seed.csv,quiz_section,"{""section_id"": ""qsec_n5_002""}",1,1,display_order,sequential,kana_romaji_choice|kana_from_romaji_choice|kana_typing,,quiz,curated_seed,
lesson_map_n5_0017,les_0201,Katakana A-row,primary_content,kana_characters_hiragana_katakana.csv,kana,"{""script"": ""katakana"", ""row_group"": ""vowel""}",10,8,display_order,sequential,kana_romaji_choice|kana_typing,kana_card,lesson_page,curated_seed,
lesson_map_n5_0018,les_0201,Katakana A-row,quiz_section,jlpt_n5_quiz_sections_seed.csv,quiz_section,"{""section_id"": ""qsec_n5_002""}",1,1,display_order,sequential,kana_romaji_choice|kana_typing,,quiz,curated_seed,
lesson_map_n5_0019,les_0202,Katakana K/S/T rows,primary_content,kana_characters_hiragana_katakana.csv,kana,"{""script"": ""katakana"", ""row_group"": [""k"", ""s"", ""t""]}",10,8,display_order,sequential,kana_romaji_choice|kana_typing,kana_card,lesson_page,curated_seed,
lesson_map_n5_0020,les_0202,Katakana K/S/T rows,quiz_section,jlpt_n5_quiz_sections_seed.csv,quiz_section,"{""section_id"": ""qsec_n5_002""}",1,1,display_order,sequential,kana_romaji_choice|kana_typing,,quiz,curated_seed,
lesson_map_n5_0021,les_0203,Katakana N/H/M rows,primary_content,kana_characters_hiragana_katakana.csv,kana,"{""script"": ""katakana"", ""row_group"": [""n"", ""h"", ""m""]}",10,8,display_order,sequential,kana_romaji_choice|kana_typing,kana_card,lesson_page,curated_seed,
lesson_map_n5_0022,les_0203,Katakana N/H/M rows,quiz_section,jlpt_n5_quiz_sections_seed.csv,quiz_section,"{""section_id"": ""qsec_n5_002""}",1,1,display_order,sequential,kana_romaji_choice|kana_typing,,quiz,curated_seed,
lesson_map_n5_0023,les_0204,Katakana Y/R/W + ン,primary_content,kana_characters_hiragana_katakana.csv,kana,"{""script"": ""katakana"", ""row_group"": [""y"", ""r"", ""w"", ""n""]}",10,8,display_order,sequential,kana_romaji_choice|kana_typing,kana_card,lesson_page,curated_seed,
lesson_map_n5_0024,les_0204,Katakana Y/R/W + ン,quiz_section,jlpt_n5_quiz_sections_seed.csv,quiz_section,"{""section_id"": ""qsec_n5_002""}",1,1,display_order,sequential,kana_romaji_choice|kana_typing,,quiz,curated_seed,
lesson_map_n5_0025,les_0205,Katakana Review Gate,primary_content,kana_characters_hiragana_katakana.csv,kana,"{""script"": ""katakana"", ""category"": ""basic""}",15,12,display_order,sequential,kana_romaji_choice|kana_from_romaji_choice|kana_typing,kana_card,lesson_page,curated_seed,
lesson_map_n5_0026,les_0205,Katakana Review Gate,quiz_section,jlpt_n5_quiz_sections_seed.csv,quiz_section,"{""section_id"": ""qsec_n5_002""}",1,1,display_order,sequential,kana_romaji_choice|kana_from_romaji_choice|kana_typing,,quiz,curated_seed,
lesson_map_n5_0027,les_0301,Dakuten & Handakuten,primary_content,kana_characters_hiragana_katakana.csv,kana,"{""category"": [""dakuten"", ""handakuten""]}",15,12,display_order,sequential,kana_romaji_choice|kana_typing,kana_card,lesson_page,curated_seed,
lesson_map_n5_0028,les_0301,Dakuten & Handakuten,quiz_section,jlpt_n5_quiz_sections_seed.csv,quiz_section,"{""section_id"": ""qsec_n5_002""}",1,1,display_order,sequential,kana_romaji_choice|kana_typing,,quiz,curated_seed,
lesson_map_n5_0029,les_0302,Yōon Combinations,primary_content,kana_characters_hiragana_katakana.csv,kana,"{""category"": ""yoon""}",15,12,display_order,sequential,kana_romaji_choice|kana_typing,kana_card,lesson_page,curated_seed,
lesson_map_n5_0030,les_0302,Yōon Combinations,quiz_section,jlpt_n5_quiz_sections_seed.csv,quiz_section,"{""section_id"": ""qsec_n5_002""}",1,1,display_order,sequential,kana_romaji_choice|kana_typing,,quiz,curated_seed,
lesson_map_n5_0031,les_0303,Sokuon & Long Vowels,primary_content,kana_characters_hiragana_katakana.csv,kana,"{""category"": [""small_kana"", ""long_vowel""]}",10,8,display_order,sequential,kana_romaji_choice|kana_typing,kana_card,lesson_page,curated_seed,
lesson_map_n5_0032,les_0303,Sokuon & Long Vowels,quiz_section,jlpt_n5_quiz_sections_seed.csv,quiz_section,"{""section_id"": ""qsec_n5_002""}",1,1,display_order,sequential,kana_romaji_choice|kana_typing,,quiz,curated_seed,
lesson_map_n5_0033,les_0304,Japanese Punctuation,primary_content,japanese_symbols_punctuation_seed.csv,writing,"{""is_common"": ""true""}",10,8,display_order,sequential,vocab_sentence_gap,,lesson_page,curated_seed,
lesson_map_n5_0034,les_0305,Kana Mastery Gate,primary_content,kana_characters_hiragana_katakana.csv,kana,"{""is_common"": ""true"", ""n5_relevant"": ""true""}",25,20,display_order,sequential,kana_romaji_choice|kana_from_romaji_choice|kana_audio_choice|kana_pair_hira_kata,kana_card,lesson_page,curated_seed,
lesson_map_n5_0035,les_0305,Kana Mastery Gate,quiz_section,jlpt_n5_quiz_sections_seed.csv,quiz_section,"{""section_id"": ""qsec_n5_002""}",1,1,display_order,sequential,kana_romaji_choice|kana_from_romaji_choice|kana_audio_choice|kana_pair_hira_kata,,quiz,curated_seed,
lesson_map_n5_0036,les_0401,Pronouns & People,primary_content,jlpt_n5_vocabulary_seed_with_examples.csv,mixed,"{""semantic_category"": [""people"", ""pronoun""]}",10,8,display_order,sequential,vocab_meaning_choice|vocab_sentence_gap,,lesson_page,curated_seed,
lesson_map_n5_0037,les_0401,Pronouns & People,quiz_section,jlpt_n5_quiz_sections_seed.csv,quiz_section,"{""section_id"": ""qsec_n5_003""}",1,1,display_order,sequential,vocab_meaning_choice|vocab_sentence_gap,,quiz,curated_seed,
lesson_map_n5_0038,les_0402,～は～です,primary_content,jlpt_n5_grammar_seed.csv,grammar,"{""grammar_point"": ""～です""}",10,8,display_order,sequential,grammar_meaning_choice|particle_gap_choice,grammar_card,lesson_page,curated_seed,
