id,jlpt_level,quiz_mode,section_key,display_name_id,description_id,template_pool,question_count,time_limit_seconds,scoring_mode,score_max,passing_hint_id,shuffle_questions,shuffle_choices,allow_review_after_submit,requires_audio,recommended_for_mvp,source_url,notes
qsec_n5_001,N5,daily_challenge,daily_quick_mix,Daily Quick Mix,Quiz cepat campuran untuk target harian.,kana_romaji_choice|vocab_meaning_choice|particle_gap_choice|kanji_meaning_choice|counter_reading_choice,10,300,raw_points,10,Target cepat: 70%+ sudah oke.,true,true,true,mixed,true,https://www.1edtech.org/standards/qti/index,Good for dashboard daily challenge.
qsec_n5_002,N5,lesson_quiz,kana_lesson_quiz,Kana Lesson Quiz,Quiz setelah belajar kana.,kana_romaji_choice|kana_from_romaji_choice|kana_typing|kana_pair_hira_kata,12,420,raw_points,16,Lulus lesson jika 80%.,true,true,true,mixed,true,https://www.imsglobal.org/spec/qti/v3p0/guide,Kana practice.
qsec_n5_003,N5,lesson_quiz,vocab_lesson_quiz,Vocabulary Lesson Quiz,Quiz kosakata per kategori.,vocab_meaning_choice|vocab_reading_choice|vocab_from_meaning_choice|vocab_sentence_gap,15,600,raw_points,20,Lulus lesson jika 75%.,true,true,true,false,true,https://www.jlpt.jp/e/samples/forlearners.html,Vocab practice.
qsec_n5_004,N5,lesson_quiz,grammar_lesson_quiz,Grammar Lesson Quiz,Quiz grammar per lesson.,grammar_meaning_choice|grammar_structure_choice|particle_gap_choice|grammar_sentence_order,12,720,raw_points,20,Lulus lesson jika 75%.,true,true,true,false,true,https://www.jlpt.jp/e/samples/forlearners.html,Grammar practice.
qsec_n5_005,N5,lesson_quiz,kanji_lesson_quiz,Kanji Lesson Quiz,Quiz kanji per batch.,kanji_meaning_choice|kanji_reading_choice|kanji_onkun_choice|kanji_radical_choice,12,600,raw_points,16,Lulus lesson jika 75%.,true,true,true,false,true,https://www.jlpt.jp/e/samples/forlearners.html,Kanji practice.
qsec_n5_006,N5,lesson_quiz,counter_lesson_quiz,Numbers & Counters Quiz,"Quiz angka, counter, tanggal, waktu.",counter_reading_choice|counter_usage_choice|date_reading_choice,12,480,raw_points,12,Fokus irregular reading.,true,true,true,false,true,https://www.imsglobal.org/spec/qti/v3p0/guide,Counters practice.
qsec_n5_007,N5,skill_quiz,listening_quiz,Listening Quiz,Quiz listening pendek.,kana_audio_choice|vocab_audio_meaning_choice|listening_sentence_choice|listening_response_choice,10,600,raw_points,15,"Dengar kata kunci, bukan semua kata.",true,true,true,true,true,https://www.jlpt.jp/e/samples/forlearners.html,Listening practice requires audio assets.
qsec_n5_008,N5,skill_quiz,reading_quiz,Reading Quiz,Quiz bacaan pendek.,reading_comprehension_choice|reading_true_false|vocab_sentence_gap,8,900,raw_points,16,"Baca pertanyaan dulu, lalu teks.",true,true,true,false,true,https://www.jlpt.jp/e/samples/forlearners.html,Reading passage bank needed.
qsec_n5_009,N5,mock_test,mock_vocab,Mock Test Vocabulary,Section kosakata mock JLPT N5.,vocab_reading_choice|vocab_meaning_choice|vocab_from_meaning_choice,25,1200,scaled_section,0,Ikuti batas waktu 20 menit.,true,true,true,false,false,https://www.jlpt.jp/sp/e/guideline/testsections.html,JLPT N5 vocabulary section time is 20 minutes.
qsec_n5_010,N5,mock_test,mock_grammar_reading,Mock Test Grammar + Reading,Section grammar dan reading mock JLPT N5.,particle_gap_choice|grammar_structure_choice|grammar_sentence_order|reading_comprehension_choice,26,2400,scaled_section,0,Ikuti batas waktu 40 menit.,true,true,true,false,false,https://www.jlpt.jp/sp/e/guideline/testsections.html,JLPT N5 grammar/reading section time is 40 minutes.
qsec_n5_011,N5,mock_test,mock_listening,Mock Test Listening,Section listening mock JLPT N5.,listening_sentence_choice|listening_response_choice,24,1800,scaled_section,0,Ikuti batas waktu 30 menit.,true,true,true,true,false,https://www.jlpt.jp/sp/e/guideline/testsections.html,JLPT N5 listening section time is 30 minutes.
