id,jlpt_level,vocab_id,display_order,expression,reading,romaji,part_of_speech_id,semantic_category,meaning_id,example_sentence_jp,example_sentence_romaji,example_sentence_id,sentence_pattern,target_kanji_ids,target_kanji_chars,audio_path,source_basis,source_url,review_status,notes
vocab_ex_n5_0001,N5,vocab_n5_0001,1,ああ,ああ,aa,ekspresi,salam_ekspresi,"Ah!, Oh!",ああ、元気ですか。,"aa, genki desu ka.","Ah!, Oh!, apakah kamu sehat?",expression_greeting_context,kanji_n5_040,気,/assets/audio/examples/vocab/n5/0001.mp3,auto_generated_vocab_coverage_from_local_vocab_seed,https://github.com/jamsinclair/open-anki-jlpt-decks/blob/main/src/n5.csv; https://www.mlcjapanese.co.jp/n5_04_01.html; https://jlptsensei.com/jlpt-n5-vocabulary-list/; https://jepang.org/jlpt/n5/kosa-kata/,auto_generated_needs_human_review,Generated fallback example to guarantee one sentence per vocabulary item. Review before production display.
vocab_ex_n5_0002,N5,vocab_n5_0002,2,会う,あう,au,kata_kerja,aksi_kegiatan,"bertemu, melihat",私は会うことができます。,Watashi wa au koto ga dekimasu.,"Saya bisa bertemu, melihat.",verb_koto_ga_dekimasu,kanji_n5_085,会,/assets/audio/examples/vocab/n5/0002.mp3,auto_generated_vocab_coverage_from_local_vocab_seed,https://github.com/jamsinclair/open-anki-jlpt-decks/blob/main/src/n5.csv; https://www.mlcjapanese.co.jp/n5_04_01.html; https://jlptsensei.com/jlpt-n5-vocabulary-list/; https://jepang.org/jlpt/n5/kosa-kata/,auto_generated_needs_human_review,Generated fallback example to guarantee one sentence per vocabulary item. Review before production display.
vocab_ex_n5_0003,N5,vocab_n5_0003,3,青,あお,ao,kata_benda,warna_bentuk,biru,青があります。,ao ga arimasu.,Ada biru.,noun_arimasu,,,/assets/audio/examples/vocab/n5/0003.mp3,auto_generated_vocab_coverage_from_local_vocab_seed,https://github.com/jamsinclair/open-anki-jlpt-decks/blob/main/src/n5.csv; https://www.mlcjapanese.co.jp/n5_04_01.html; https://jlptsensei.com/jlpt-n5-vocabulary-list/; https://jepang.org/jlpt/n5/kosa-kata/,auto_generated_needs_human_review,Generated fallback example to guarantee one sentence per vocabulary item. Review before production display.
vocab_ex_n5_0004,N5,vocab_n5_0004,4,青い,あおい,aoi,kata_sifat_i,warna_bentuk,biru,青いです。,aoi desu.,biru.,i_adjective_desu,,,/assets/audio/examples/vocab/n5/0004.mp3,auto_generated_vocab_coverage_from_local_vocab_seed,https://github.com/jamsinclair/open-anki-jlpt-decks/blob/main/src/n5.csv; https://www.mlcjapanese.co.jp/n5_04_01.html; https://jlptsensei.com/jlpt-n5-vocabulary-list/; https://jepang.org/jlpt/n5/kosa-kata/,auto_generated_needs_human_review,Generated fallback example to guarantee one sentence per vocabulary item. Review before production display.
vocab_ex_n5_0005,N5,vocab_n5_0005,5,赤,あか,aka,kata_benda,warna_bentuk,merah,赤があります。,aka ga arimasu.,Ada merah.,noun_arimasu,,,/assets/audio/examples/vocab/n5/0005.mp3,auto_generated_vocab_coverage_from_local_vocab_seed,https://github.com/jamsinclair/open-anki-jlpt-decks/blob/main/src/n5.csv; https://www.mlcjapanese.co.jp/n5_04_01.html; https://jlptsensei.com/jlpt-n5-vocabulary-list/; https://jepang.org/jlpt/n5/kosa-kata/,auto_generated_needs_human_review,Generated fallback example to guarantee one sentence per vocabulary item. Review before production display.
vocab_ex_n5_0006,N5,vocab_n5_0006,6,赤い,あかい,akai,kata_sifat_i,warna_bentuk,merah,赤いです。,akai desu.,merah.,i_adjective_desu,,,/assets/audio/examples/vocab/n5/0006.mp3,auto_generated_vocab_coverage_from_local_vocab_seed,https://github.com/jamsinclair/open-anki-jlpt-decks/blob/main/src/n5.csv; https://www.mlcjapanese.co.jp/n5_04_01.html; https://jlptsensei.com/jlpt-n5-vocabulary-list/; https://jepang.org/jlpt/n5/kosa-kata/,auto_generated_needs_human_review,Generated fallback example to guarantee one sentence per vocabulary item. Review before production display.
vocab_ex_n5_0007,N5,vocab_n5_0007,7,明るい,あかるい,akarui,kata_sifat_i,sifat_keadaan,"terang, ceria",明るいです。,akarui desu.,"terang, ceria.",i_adjective_desu,,,/assets/audio/examples/vocab/n5/0007.mp3,auto_generated_vocab_coverage_from_local_vocab_seed,https://github.com/jamsinclair/open-anki-jlpt-decks/blob/main/src/n5.csv; https://www.mlcjapanese.co.jp/n5_04_01.html; https://jlptsensei.com/jlpt-n5-vocabulary-list/; https://jepang.org/jlpt/n5/kosa-kata/,auto_generated_needs_human_review,Generated fallback example to guarantee one sentence per vocabulary item. Review before production display.
vocab_ex_n5_0008,N5,vocab_n5_0008,8,秋,あき,aki,kata_benda,waktu_tanggal,musim gugur,秋があります。,aki ga arimasu.,Ada musim gugur.,noun_arimasu,,,/assets/audio/examples/vocab/n5/0008.mp3,auto_generated_vocab_coverage_from_local_vocab_seed,https://github.com/jamsinclair/open-anki-jlpt-decks/blob/main/src/n5.csv; https://www.mlcjapanese.co.jp/n5_04_01.html; https://jlptsensei.com/jlpt-n5-vocabulary-list/; https://jepang.org/jlpt/n5/kosa-kata/,auto_generated_needs_human_review,Generated fallback example to guarantee one sentence per vocabulary item. Review before production display.
vocab_ex_n5_0009,N5,vocab_n5_0009,9,開く,あく,aku,kata_kerja,aksi_kegiatan,"terbuka, membuka",私は開くことができます。,Watashi wa aku koto ga dekimasu.,"Saya bisa terbuka, membuka.",verb_koto_ga_dekimasu,,,/assets/audio/examples/vocab/n5/0009.mp3,auto_generated_vocab_coverage_from_local_vocab_seed,https://github.com/jamsinclair/open-anki-jlpt-decks/blob/main/src/n5.csv; https://www.mlcjapanese.co.jp/n5_04_01.html; https://jlptsensei.com/jlpt-n5-vocabulary-list/; https://jepang.org/jlpt/n5/kosa-kata/,auto_generated_needs_human_review,Generated fallback example to guarantee one sentence per vocabulary item. Review before production display.
vocab_ex_n5_0010,N5,vocab_n5_0010,10,開ける,あける,akeru,kata_kerja,aksi_kegiatan,membuka,私は開けることができます。,Watashi wa akeru koto ga dekimasu.,Saya bisa membuka.,verb_koto_ga_dekimasu,,,/assets/audio/examples/vocab/n5/0010.mp3,auto_generated_vocab_coverage_from_local_vocab_seed,https://github.com/jamsinclair/open-anki-jlpt-decks/blob/main/src/n5.csv; https://www.mlcjapanese.co.jp/n5_04_01.html; https://jlptsensei.com/jlpt-n5-vocabulary-list/; https://jepang.org/jlpt/n5/kosa-kata/,auto_generated_needs_human_review,Generated fallback example to guarantee one sentence per vocabulary item. Review before production display.
vocab_ex_n5_0011,N5,vocab_n5_0011,11,上げる,あげる,ageru,kata_kerja,aksi_kegiatan,"menaikkan, memberi",私は上げることができます。,Watashi wa ageru koto ga dekimasu.,"Saya bisa menaikkan, memberi.",verb_koto_ga_dekimasu,kanji_n5_024,上,/assets/audio/examples/vocab/n5/0011.mp3,auto_generated_vocab_coverage_from_local_vocab_seed,https://github.com/jamsinclair/open-anki-jlpt-decks/blob/main/src/n5.csv; https://www.mlcjapanese.co.jp/n5_04_01.html; https://jlptsensei.com/jlpt-n5-vocabulary-list/; https://jepang.org/jlpt/n5/kosa-kata/,auto_generated_needs_human_review,Generated fallback example to guarantee one sentence per vocabulary item. Review before production display.
vocab_ex_n5_0012,N5,vocab_n5_0012,12,朝,あさ,asa,kata_benda,waktu_tanggal,pagi,朝があります。,asa ga arimasu.,Ada pagi.,noun_arimasu,,,/assets/audio/examples/vocab/n5/0012.mp3,auto_generated_vocab_coverage_from_local_vocab_seed,https://github.com/jamsinclair/open-anki-jlpt-decks/blob/main/src/n5.csv; https://www.mlcjapanese.co.jp/n5_04_01.html; https://jlptsensei.com/jlpt-n5-vocabulary-list/; https://jepang.org/jlpt/n5/kosa-kata/,auto_generated_needs_human_review,Generated fallback example to guarantee one sentence per vocabulary item. Review before production display.
vocab_ex_n5_0013,N5,vocab_n5_0013,13,朝御飯,あさごはん,asagohan,kata_benda,waktu_tanggal,sarapan,朝御飯があります。,asagohan ga arimasu.,Ada sarapan.,noun_arimasu,,,/assets/audio/examples/vocab/n5/0013.mp3,auto_generated_vocab_coverage_from_local_vocab_seed,https://github.com/jamsinclair/open-anki-jlpt-decks/blob/main/src/n5.csv; https://www.mlcjapanese.co.jp/n5_04_01.html; https://jlptsensei.com/jlpt-n5-vocabulary-list/; https://jepang.org/jlpt/n5/kosa-kata/,auto_generated_needs_human_review,Generated fallback example to guarantee one sentence per vocabulary item. Review before production display.
vocab_ex_n5_0014,N5,vocab_n5_0014,14,明後日,あさって,asatte,kata_benda,waktu_tanggal,lusa,明後日があります。,asatte ga arimasu.,Ada lusa.,noun_arimasu,kanji_n5_019|kanji_n5_001,後日,/assets/audio/examples/vocab/n5/0014.mp3,auto_generated_vocab_coverage_from_local_vocab_seed,https://github.com/jamsinclair/open-anki-jlpt-decks/blob/main/src/n5.csv; https://www.mlcjapanese.co.jp/n5_04_01.html; https://jlptsensei.com/jlpt-n5-vocabulary-list/; https://jepang.org/jlpt/n5/kosa-kata/,auto_generated_needs_human_review,Generated fallback example to guarantee one sentence per vocabulary item. Review before production display.
vocab_ex_n5_0015,N5,vocab_n5_0015,15,足; 脚,あし,ashi,kata_benda,umum,kaki,足があります。,ashi ga arimasu.,Ada kaki.,noun_arimasu,kanji_n5_097,足,/assets/audio/examples/vocab/n5/0015.mp3,auto_generated_vocab_coverage_from_local_vocab_seed,https://github.com/jamsinclair/open-anki-jlpt-decks/blob/main/src/n5.csv; https://www.mlcjapanese.co.jp/n5_04_01.html; https://jlptsensei.com/jlpt-n5-vocabulary-list/; https://jepang.org/jlpt/n5/kosa-kata/,auto_generated_needs_human_review,Generated fallback example to guarantee one sentence per vocabulary item. Review before production display.
vocab_ex_n5_0016,N5,vocab_n5_0016,16,明日,あした,ashita,kata_benda,waktu_tanggal,besok,明日があります。,ashita ga arimasu.,Ada besok.,noun_arimasu,kanji_n5_001,日,/assets/audio/examples/vocab/n5/0016.mp3,auto_generated_vocab_coverage_from_local_vocab_seed,https://github.com/jamsinclair/open-anki-jlpt-decks/blob/main/src/n5.csv; https://www.mlcjapanese.co.jp/n5_04_01.html; https://jlptsensei.com/jlpt-n5-vocabulary-list/; https://jepang.org/jlpt/n5/kosa-kata/,auto_generated_needs_human_review,Generated fallback example to guarantee one sentence per vocabulary item. Review before production display.
