id,jlpt_level,set_type,display_order,particle,reading_kana,romaji,romaji_alt,particle_category,function_key,meaning_id,meaning_en,usage_explanation_id,pattern,example_jp,example_romaji,example_meaning_id,position,is_common,is_core_n5,recommended_for_quiz,confusable_with,common_mistake_id,input_aliases,source_url,notes
prt_n5_001,N5,core_n5_essential,1,は,わ,wa,ha,topic_particle,topic_marker,penanda topik; tentang,topic marker; as for,"Menandai topik yang sedang dibicarakan. Ditulis は, dibaca wa.",N + は + predicate,私は学生です。,Watashi wa gakusei desu.,Saya adalah pelajar.,after_noun_or_phrase,true,true,true,が,Membaca は sebagai ha saat menjadi partikel; untuk partikel dibaca wa.,wa|ha|は,https://www.mlcjapanese.co.jp/n5_01_30.html,Core topic marker.
prt_n5_002,N5,core_n5_essential,2,は,わ,wa,ha,topic_particle,contrast_marker,penanda kontras,contrast marker,Menunjukkan kontras antara dua topik atau kondisi.,"A は ..., B は ...",肉は食べますが、魚は食べません。,"Niku wa tabemasu ga, sakana wa tabemasen.","Saya makan daging, tapi tidak makan ikan.",after_noun_or_phrase,true,true,true,が,Jangan selalu mengganti は dan が; は sering mengatur topik/kontras.,wa|ha|は,https://www.mlcjapanese.co.jp/n5_01_30.html,Useful for contrast drills.
prt_n5_003,N5,core_n5_essential,3,が,が,ga,,case_particle,subject_marker,penanda subjek,subject marker,Menandai subjek atau informasi baru/spesifik.,N + が + predicate,猫がいます。,Neko ga imasu.,Ada kucing.,after_noun,true,true,true,は,が sering fokus ke siapa/apa yang melakukan atau ada; は fokus ke topiknya.,ga|が,https://www.mlcjapanese.co.jp/n5_01_30.html,Use with あります/います patterns.
prt_n5_004,N5,core_n5_essential,4,が,が,ga,,case_particle,question_answer_focus,penanda jawaban untuk pertanyaan siapa/apa,focus marker for question answers,"Dipakai untuk menandai jawaban atas pertanyaan seperti 誰が, 何が.",Question word + が / Answer + が,誰が来ますか。,Dare ga kimasu ka.,Siapa yang akan datang?,after_question_word_or_answer,true,true,true,は,"Dalam pertanyaan 誰が, jangan ganti menjadi 誰は.",ga|が,https://guidetojapanese.org/learn/grammar/particlesintro,Good for wa-vs-ga quiz.
prt_n5_005,N5,core_n5_grammar,5,が,が,ga,,conjunctive_particle,but_however,tetapi; namun,but; however,Menghubungkan dua klausa dengan makna kontras ringan.,Clause + が + clause,日本語は難しいですが、楽しいです。,"Nihongo wa muzukashii desu ga, tanoshii desu.","Bahasa Jepang sulit, tapi menyenangkan.",between_clauses,true,true,true,でも|けど,が sebagai konjungsi berbeda fungsi dari が sebagai penanda subjek.,ga|が,https://japanesetest4you.com/jlpt-n5-grammar-list/,N5 grammar list includes が as but/however.
prt_n5_006,N5,core_n5_essential,6,を,お,o,wo,case_particle,direct_object_marker,penanda objek langsung,direct object marker,"Menandai objek langsung dari kata kerja aksi. Ditulis を, sering dibaca o.",N + を + transitive verb,水を飲みます。,Mizu o nomimasu.,Saya minum air.,after_noun,true,true,true,が|は,"を biasanya untuk objek yang dikenai aksi, bukan subjek.",o|wo|を,https://www.mlcjapanese.co.jp/n5_01_30.html,Core object marker.
prt_n5_007,N5,extended_n5_useful,7,を,お,o,wo,case_particle,route_or_path_marker,melewati; sepanjang,through; along; path marker,Bisa menandai rute atau tempat yang dilalui.,Place/path + を + movement verb,道を歩きます。,Michi o arukimasu.,Saya berjalan di sepanjang jalan.,after_path_noun,true,false,false,で,Untuk aktivitas di lokasi biasanya で; untuk rute yang dilalui bisa を.,o|wo|を,https://www.japanesepod101.com/japanese-particles/,Useful advanced beginner usage; keep optional.
prt_n5_008,N5,core_n5_essential,8,に,に,ni,,case_particle,destination_marker,ke; menuju,to; destination,"Menandai tujuan untuk kata kerja gerak seperti 行く, 来る, 帰る.",Place + に + movement verb,学校に行きます。,Gakkou ni ikimasu.,Saya pergi ke sekolah.,after_place_noun,true,true,true,へ|で,"Untuk tujuan gerak pakai に/へ, bukan で.",ni|に,https://www.mlcjapanese.co.jp/n5_01_30.html,Core movement destination.
prt_n5_009,N5,core_n5_essential,9,に,に,ni,,case_particle,existence_location_marker,di; pada lokasi keberadaan,location of existence,Menandai lokasi keberadaan untuk あります/います.,Place + に + N + が + あります/います,机の上に本があります。,Tsukue no ue ni hon ga arimasu.,Ada buku di atas meja.,after_location_phrase,true,true,true,で,Keberadaan statis pakai に; aksi yang dilakukan di tempat biasanya pakai で.,ni|に,https://www.mlcjapanese.co.jp/n5_01_30.html,Core arimasu/imasu pattern.
prt_n5_010,N5,core_n5_essential,10,に,に,ni,,case_particle,specific_time_marker,pada jam/waktu tertentu,specific time marker,"Menandai waktu spesifik seperti jam, tanggal, atau hari tertentu.",Specific time + に + verb,七時に起きます。,Shichi-ji ni okimasu.,Saya bangun pukul tujuh.,after_specific_time,true,true,true,,"Kata waktu relatif seperti 今日, 明日 sering tidak perlu に.",ni|に,https://www.mlcjapanese.co.jp/n5_01_30.html,Good for time quiz.
