id,passage_id,map_type,dataset_ref,source_entity_type,source_entity_ids,source_terms,coverage_note,review_status
read_map_n5_0001,read_n5_0001,target_vocabulary,jlpt_n5_vocabulary_seed_with_examples.csv,vocabulary,vocab_n5_0714|vocab_n5_0618,私|インドネシア人|大学生|毎日|日本語|勉強する,Matched by expression/reading when available.,auto_matched
read_map_n5_0002,read_n5_0001,target_grammar,jlpt_n5_grammar_seed.csv,grammar_point,grm_n5_079|grm_n5_060,～です|は|を,Matched by grammar_point where available.,auto_matched
read_map_n5_0003,read_n5_0001,target_kanji,jlpt_n5_kanji_extended_103.csv,kanji,kanji_n5_004|kanji_n5_006|kanji_n5_031|kanji_n5_021|kanji_n5_069|kanji_n5_001|kanji_n5_009|kanji_n5_060,人大学生毎日本語,Matched by kanji characters in passage.,auto_matched
read_map_n5_0004,read_n5_0002,target_vocabulary,jlpt_n5_vocabulary_seed_with_examples.csv,vocabulary,vocab_n5_0615|vocab_n5_0105|vocab_n5_0393|vocab_n5_0047|vocab_n5_0436|vocab_n5_0168|vocab_n5_0302|vocab_n5_0049,毎朝|六時|起きる|七時|朝ご飯|食べる|八時|家|出る|学校|自転車|行く,Matched by expression/reading when available.,auto_matched
read_map_n5_0005,read_n5_0002,target_grammar,jlpt_n5_grammar_seed.csv,grammar_point,grm_n5_012|grm_n5_048|grm_n5_060|grm_n5_051|grm_n5_005,ます|に|を|へ|で,Matched by grammar_point where available.,auto_matched
read_map_n5_0006,read_n5_0002,target_kanji,jlpt_n5_kanji_extended_103.csv,kanji,kanji_n5_069|kanji_n5_037|kanji_n5_014|kanji_n5_042|kanji_n5_064|kanji_n5_036|kanji_n5_012|kanji_n5_031|kanji_n5_059|kanji_n5_065|kanji_n5_015,毎六時七食八出学校車行,Matched by kanji characters in passage.,auto_matched
read_map_n5_0007,read_n5_0003,target_vocabulary,jlpt_n5_vocabulary_seed_with_examples.csv,vocabulary,vocab_n5_0204|vocab_n5_0239|vocab_n5_0168|vocab_n5_0432|vocab_n5_0256|vocab_n5_0469|vocab_n5_0552|vocab_n5_0393,今日|月曜日|学校|日本語|テスト|午前|十時|昼休み|友達|パン|食べる,Matched by expression/reading when available.,auto_matched
read_map_n5_0008,read_n5_0003,target_grammar,jlpt_n5_grammar_seed.csv,grammar_point,grm_n5_012|grm_n5_005|grm_n5_052|grm_n5_023|grm_n5_048|grm_n5_075|grm_n5_060,あります|で|の|から|に|と|を,Matched by grammar_point where available.,auto_matched
read_map_n5_0009,read_n5_0003,target_kanji,jlpt_n5_kanji_extended_103.csv,kanji,kanji_n5_027|kanji_n5_001|kanji_n5_017|kanji_n5_031|kanji_n5_059|kanji_n5_009|kanji_n5_060|kanji_n5_047|kanji_n5_020|kanji_n5_007|kanji_n5_014|kanji_n5_078|kanji_n5_076|kanji_n5_064,今日月学校本語午前十時休友食,Matched by kanji characters in passage.,auto_matched
read_map_n5_0010,read_n5_0004,target_vocabulary,jlpt_n5_vocabulary_seed_with_examples.csv,vocabulary,vocab_n5_0268|vocab_n5_0714|vocab_n5_0165|vocab_n5_0311|vocab_n5_0406|vocab_n5_0542|vocab_n5_0701|vocab_n5_0319|vocab_n5_0068|vocab_n5_0065,これ|私|家族|写真|父|会社員|母|料理|上手|妹|十歳|犬,Matched by expression/reading when available.,auto_matched
read_map_n5_0011,read_n5_0004,target_grammar,jlpt_n5_grammar_seed.csv,grammar_point,grm_n5_110|grm_n5_052|grm_n5_079|grm_n5_034|grm_n5_014,これ|の|は|も|います,Matched by grammar_point where available.,auto_matched
read_map_n5_0012,read_n5_0004,target_kanji,jlpt_n5_kanji_extended_103.csv,kanji,kanji_n5_079|kanji_n5_085|kanji_n5_092|kanji_n5_072|kanji_n5_024|kanji_n5_093|kanji_n5_007,父会社母上手十,Matched by kanji characters in passage.,auto_matched
read_map_n5_0013,read_n5_0005,target_vocabulary,jlpt_n5_vocabulary_seed_with_examples.csv,vocabulary,vocab_n5_0714|vocab_n5_0596|vocab_n5_0399|vocab_n5_0211|vocab_n5_0417|vocab_n5_0076|vocab_n5_0610|vocab_n5_0594|vocab_n5_0299|vocab_n5_0172|vocab_n5_0631|vocab_n5_0403|vocab_n5_0538,私|部屋|小さい|きれい|机|上|本|三冊|ベッド|下|かばん|窓|近く|花,Matched by expression/reading when available.,auto_matched
read_map_n5_0014,read_n5_0005,target_grammar,jlpt_n5_grammar_seed.csv,grammar_point,grm_n5_052|grm_n5_011|grm_n5_012|grm_n5_048,の|が|あります|に|ですが,Matched by grammar_point where available.,auto_matched
read_map_n5_0015,read_n5_0005,target_kanji,jlpt_n5_kanji_extended_103.csv,kanji,kanji_n5_041|kanji_n5_024|kanji_n5_009|kanji_n5_013|kanji_n5_038|kanji_n5_084,小上本三下花,Matched by kanji characters in passage.,auto_matched
read_map_n5_0016,read_n5_0006,target_vocabulary,jlpt_n5_vocabulary_seed_with_examples.csv,vocabulary,vocab_n5_0253|vocab_n5_0049|vocab_n5_0643|vocab_n5_0203|vocab_n5_0149|vocab_n5_0357|vocab_n5_0047|vocab_n5_0542|vocab_n5_0393,午後|スーパー|行く|りんご|三つ|牛乳|一本|買う|全部|六百円|家|母|食べる,Matched by expression/reading when available.,auto_matched
read_map_n5_0017,read_n5_0006,target_grammar,jlpt_n5_grammar_seed.csv,grammar_point,grm_n5_051|grm_n5_092|grm_n5_060|grm_n5_075|grm_n5_005,へ|ました|を|と|で,Matched by grammar_point where available.,auto_matched
read_map_n5_0018,read_n5_0006,target_kanji,jlpt_n5_kanji_extended_103.csv,kanji,kanji_n5_047|kanji_n5_019|kanji_n5_015|kanji_n5_013|kanji_n5_002|kanji_n5_009|kanji_n5_101|kanji_n5_037|kanji_n5_048|kanji_n5_033|kanji_n5_072|kanji_n5_064,午後行三一本買六百円母食,Matched by kanji characters in passage.,auto_matched
