id,table_name,field_name,field_type,nullable,default_value,description_id,index_recommendation,example_value,notes
srs_schema_001,user_srs_cards,id,uuid,false,,Primary key.,primary_key,usc_01,
srs_schema_002,user_srs_cards,user_id,uuid,false,,Pemilik card progress.,index,user_123,
srs_schema_003,user_srs_cards,card_id,uuid/string,false,,ID kartu hasil generator.,index,card_vocab_犬_jp_id,
srs_schema_004,user_srs_cards,deck_key,string,false,,Deck asal.,index,deck_vocab_n5,
srs_schema_005,user_srs_cards,source_entity_id,string,false,,ID sumber seperti vocab_id/kanji_id.,index,vocab_n5_0001,
srs_schema_006,user_srs_cards,state,enum,false,new,new/learning/review/relearning/suspended.,compound_index_due,review,
srs_schema_007,user_srs_cards,due_at,datetime,true,,Kapan kartu muncul lagi.,compound_index_due,2026-07-02T08:00:00+08:00,
srs_schema_008,user_srs_cards,interval_days,float,false,0,Interval saat ini dalam hari.,,3,
srs_schema_009,user_srs_cards,ease_factor,float,false,2.5,Ease untuk algorithm SM-2-like.,,2.5,MVP fixed can still store it for future migration.
srs_schema_010,user_srs_cards,learning_step_index,integer,false,0,Step learning/relearning sekarang.,,0,
srs_schema_011,user_srs_cards,review_count,integer,false,0,Jumlah review total.,,12,
srs_schema_012,user_srs_cards,lapse_count,integer,false,0,Jumlah Again saat state review.,index,2,
srs_schema_013,user_srs_cards,last_rating,enum,true,,Rating terakhir.,,good,
srs_schema_014,user_srs_cards,last_reviewed_at,datetime,true,,Waktu review terakhir.,index,2026-07-01T19:30:00+08:00,
srs_schema_015,user_srs_cards,first_seen_at,datetime,true,,Pertama kali muncul.,,2026-07-01T19:00:00+08:00,
srs_schema_016,user_srs_cards,graduated_at,datetime,true,,Kapan keluar dari learning ke review.,,2026-07-01T19:15:00+08:00,
srs_schema_017,user_srs_cards,suspended_at,datetime,true,,Diisi kalau kartu disuspend.,index,,
srs_schema_018,user_srs_cards,tags,string[],true,,"Tag progress user, termasuk leech/hard.",gin_index,leech|hard,
srs_schema_019,user_srs_reviews,id,uuid,false,,Primary key review log.,primary_key,usr_rev_01,
srs_schema_020,user_srs_reviews,user_card_id,uuid,false,,FK ke user_srs_cards.,index,usc_01,
srs_schema_021,user_srs_reviews,rating_key,enum,false,,again/hard/good/easy.,index,good,
srs_schema_022,user_srs_reviews,reviewed_at,datetime,false,,Waktu user menjawab.,index,2026-07-01T19:31:00+08:00,
srs_schema_023,user_srs_reviews,scheduled_days_before,float,true,,Interval sebelum review.,,3,
srs_schema_024,user_srs_reviews,scheduled_days_after,float,true,,Interval setelah review.,,8,
srs_schema_025,user_srs_reviews,response_ms,integer,true,,Waktu jawab user.,,4200,
srs_schema_026,user_srs_reviews,answer_correct,boolean,true,,Berguna untuk typing/quiz mode.,index,true,
srs_schema_027,user_srs_reviews,raw_answer,text,true,,Input user untuk typing/listening.,,,
srs_schema_028,user_srs_reviews,algorithm_key,string,false,fixed_interval_mvp,Algorithm yang dipakai saat review.,index,fixed_interval_mvp,
